Support_Year;Cluster;Timestep;to_network_kW;from_network_kW;to_main_grid_kW;from_main_grid_kW;to_grid_kW;from_grid_kW
0;0;0;1.778;0.0;0.0;2.995;1.778;2.995
0;0;1;1.497;0.0;0.0;2.72;1.497;2.72
0;0;2;0.0;1.223;0.0;0.0;0.0;1.223
0;0;3;0.0;1.196;0.0;0.0;0.0;1.196
0;0;4;0.0;1.233;0.0;0.0;0.0;1.233
0;0;5;0.0;12.686;0.0;0.0;0.0;12.686
0;0;6;44.73;0.0;0.0;54.418;44.73;54.418
0;0;7;49.02;0.0;0.0;49.921;49.02;49.921
0;0;8;49.448;0.0;0.0;34.183;49.448;34.183
0;0;9;46.401;0.0;0.0;24.373;46.401;24.373
0;0;10;41.409;0.0;0.0;25.712;41.409;25.712
0;0;11;10.472;0.0;0.0;0.0;10.472;0.0
0;0;12;8.361;0.0;0.0;0.0;8.361;0.0
0;0;13;25.157;0.0;0.0;0.0;25.157;0.0
0;0;14;30.331;0.0;0.0;0.0;30.331;0.0
0;0;15;28.482;0.0;0.0;0.0;28.482;0.0
0;0;16;17.839;0.0;0.0;0.0;17.839;0.0
0;0;17;35.995;0.0;0.0;28.86;35.995;28.86
0;0;18;35.055;0.0;0.0;30.157;35.055;30.157
0;0;19;33.156;0.0;0.0;31.35;33.156;31.35
0;0;20;34.211;0.0;0.0;34.513;34.211;34.513
0;0;21;34.482;0.0;0.0;35.641;34.482;35.641
0;0;22;0.0;1.125;0.0;0.0;0.0;1.125
0;0;23;0.0;1.134;0.0;0.0;0.0;1.134
0;0;24;0.0;1.196;0.0;0.0;0.0;1.196
0;0;25;0.0;1.127;0.0;0.0;0.0;1.127
0;0;26;0.0;1.204;0.0;0.0;0.0;1.204
0;0;27;0.0;1.25;0.0;0.0;0.0;1.25
0;0;28;0.0;1.187;0.0;0.0;0.0;1.187
0;0;29;0.0;0.822;0.0;0.0;0.0;0.822
0;0;30;50.088;0.0;0.0;49.568;50.088;49.568
0;0;31;47.623;0.0;0.0;41.219;47.623;41.219
0;0;32;43.813;0.0;0.0;29.434;43.813;29.434
0;0;33;44.196;0.0;0.0;22.379;44.196;22.379
0;0;34;20.916;0.0;0.0;0.0;20.916;0.0
0;0;35;8.073;0.0;0.0;0.0;8.073;0.0
0;0;36;9.104;0.0;0.0;0.0;9.104;0.0
0;0;37;13.034;0.0;0.0;0.0;13.034;0.0
0;0;38;32.689;0.0;0.0;0.0;32.689;0.0
0;0;39;22.678;0.0;0.0;0.0;22.678;0.0
0;0;40;32.099;0.0;0.0;20.472;32.099;20.472
0;0;41;28.31;0.0;0.0;21.268;28.31;21.268
0;0;42;33.725;0.0;0.0;24.454;33.725;24.454
0;0;43;32.305;0.0;0.0;31.408;32.305;31.408
0;0;44;30.74;0.0;0.0;31.096;30.74;31.096
0;0;45;28.493;0.0;0.0;29.709;28.493;29.709
0;0;46;0.0;1.194;0.0;0.0;0.0;1.194
0;0;47;0.0;1.219;0.0;0.0;0.0;1.219
0;0;48;0.0;1.149;0.0;0.0;0.0;1.149
0;0;49;0.0;1.233;0.0;0.0;0.0;1.233
0;0;50;0.0;1.191;0.0;0.0;0.0;1.191
0;0;51;0.0;1.175;0.0;0.0;0.0;1.175
0;0;52;0.0;1.34;0.0;0.0;0.0;1.34
0;0;53;0.0;1.204;0.0;0.0;0.0;1.204
0;0;54;43.075;0.0;0.0;42.402;43.075;42.402
0;0;55;43.142;0.0;0.0;38.785;43.142;38.785
0;0;56;44.54;0.0;0.0;37.82;44.54;37.82
0;0;57;39.224;0.0;0.0;29.153;39.224;29.153
0;0;58;31.493;0.0;0.0;0.0;31.493;0.0
0;0;59;39.797;0.0;0.0;0.0;39.797;0.0
0;0;60;40.232;0.0;0.0;0.0;40.232;0.0
0;0;61;34.106;0.0;0.0;0.0;34.106;0.0
0;0;62;31.222;0.0;0.0;0.0;31.222;0.0
0;0;63;15.763;0.0;0.0;0.0;15.763;0.0
0;0;64;15.498;0.0;0.0;0.0;15.498;0.0
0;0;65;7.986;0.0;0.0;0.0;7.986;0.0
0;0;66;26.832;0.0;0.0;19.051;26.832;19.051
0;0;67;27.77;0.0;0.0;26.109;27.77;26.109
0;0;68;24.259;0.0;0.0;24.606;24.259;24.606
0;0;69;23.039;0.0;0.0;24.223;23.039;24.223
