scenario;category;metric;device;year;value;unit
ghd6;optimization;tac_distr;;;641588;EUR/a
ghd6;optimization;co2_distr;;;9146;t/a
ghd6;optimization;tac_per_distr_year;;0;717373.230064;EUR/a
ghd6;optimization;co2_sum_distr_year;;0;5968.546093;t/a
ghd6;optimization;LCOE_year;;0;112.3475620581;EUR/MWh
ghd6;optimization;tac_per_distr_year;;5;626003.975071;EUR/a
ghd6;optimization;co2_sum_distr_year;;5;1773.023212;t/a
ghd6;optimization;LCOE_year;;5;103.7593490156;EUR/MWh
ghd6;optimization;tac_per_distr_year;;10;580437.842760;EUR/a
ghd6;optimization;co2_sum_distr_year;;10;809.220800;t/a
ghd6;optimization;LCOE_year;;10;101.5826335108;EUR/MWh
ghd6;optimization;tac_per_distr_year;;15;524579.999069;EUR/a
ghd6;optimization;co2_sum_distr_year;;15;433.255700;t/a
ghd6;optimization;LCOE_year;;15;96.6734355322;EUR/MWh
ghd6;optimization;tac_per_distr_year;;20;513817.722410;EUR/a
ghd6;optimization;co2_sum_distr_year;;20;0.000000;t/a
ghd6;optimization;LCOE_year;;20;99.8602820066;EUR/MWh
ghd6;cost;co2_tax_total;;;0;EUR/a
ghd6;cost;total_inv_cost;;;1949928;EUR/a
ghd6;cost;total_inv_cost_unsubsidized;;;2482872;EUR/a
ghd6;cost;total_ann_inv_cost;;;135921;EUR/a
ghd6;cost;total_ann_inv_cost_unsubsidized;;;175442;EUR/a
ghd6;cost;total_om_cost;;;50253;EUR/a
ghd6;cost;supply_costs_el;;;496472;EUR/a
ghd6;cost;cap_costs_el;;;0;EUR/a
ghd6;cost;total_el_costs;;;496472;EUR/a
ghd6;cost;rev_feed_in_el;;;0;EUR/a
ghd6;cost;supply_costs_gas;;;0;EUR/a
ghd6;cost;cap_costs_gas;;;0;EUR/a
ghd6;cost;total_gas_costs;;;0;EUR/a
ghd6;cost;rev_feed_in_gas;;;0;EUR/a
ghd6;cost;supply_costs_biom;;;0;EUR/a
ghd6;cost;supply_costs_waste;;;0;EUR/a
ghd6;cost;supply_costs_hydrogen;;;0;EUR/a
ghd6;co2;co2_onsite_emissions;;;0;t/a
ghd6;co2;co2_credit_feedin;;;0;t/a
ghd6;co2;total_co2_el;;;0.0;t/a
ghd6;co2;total_co2_el_feed_in;;;0.0;t/a
ghd6;co2;total_co2_gas;;;0;t/a
ghd6;co2;total_co2_gas_feed_in;;;0;t/a
ghd6;co2;total_co2_biom;;;0;t/a
ghd6;co2;total_co2_waste;;;0;t/a
ghd6;co2;total_co2_hydrogen;;;0;t/a
ghd6;grid;from_el_grid_total;;;72460;MWh
ghd6;grid;to_el_grid_total;;;0;MWh
ghd6;grid;from_el_main_grid_total;;;72460;MWh
ghd6;grid;to_el_main_grid_total;;;0;MWh
ghd6;grid;from_network_total;;;0;MWh
ghd6;grid;to_network_total;;;0;MWh
ghd6;grid;from_gas_grid_total;;;0;MWh
ghd6;grid;to_gas_grid_total;;;0;MWh
ghd6;grid;biom_import_total;;;0;MWh
ghd6;grid;waste_import_total;;;0;MWh
ghd6;grid;hydrogen_import_total;;;0;MWh
ghd6;grid;max_el_from_grid;;;1182;kW
ghd6;grid;max_el_to_grid;;;0;kW
ghd6;grid;max_el_from_main_grid;;;1182;kW
ghd6;grid;max_el_to_main_grid;;;0;kW
ghd6;grid;max_el_from_network;;;0;kW
ghd6;grid;max_el_to_network;;;0;kW
ghd6;grid;max_gas_from_grid;;;0;kW
ghd6;grid;max_gas_to_grid;;;0;kW
ghd6;grid;max_biom;;;0;
ghd6;grid;max_waste;;;0;
ghd6;grid;max_hydrogen;;;0;
ghd6;area;PV;PV;;0;qm
ghd6;area;STC;STC;;0;qm
ghd6;storage_volume;vol_liter;TES;;212731.3;l
ghd6;storage_volume;vol_liter;CTES;;0;l
ghd6;device;capacity;HP;;1115.8;kW
ghd6;device_cost;inv;HP;;729213.71;EUR
ghd6;device_cost;inv_unsubsidized;HP;;1215356.18;EUR
ghd6;device_cost;ann_inv;HP;;53609.41;EUR/a
ghd6;device_cost;ann_inv_unsubsidized;HP;;89349.01;EUR/a
ghd6;device_cost;om_cost;HP;;40106.75;EUR/a
ghd6;device;capacity;EB;;266.7;kW
ghd6;device_cost;inv;EB;;48659.55;EUR
ghd6;device_cost;inv_unsubsidized;EB;;48659.55;EUR
ghd6;device_cost;ann_inv;EB;;3577.29;EUR/a
ghd6;device_cost;ann_inv_unsubsidized;EB;;3577.29;EUR/a
ghd6;device_cost;om_cost;EB;;486.6;EUR/a
ghd6;device;capacity;BBOI;;990.0;kW
ghd6;device_cost;inv;BBOI;;95873.9;EUR
ghd6;device_cost;inv_unsubsidized;BBOI;;95873.9;EUR
ghd6;device_cost;ann_inv;BBOI;;7746.2;EUR/a
ghd6;device_cost;ann_inv_unsubsidized;BBOI;;7746.2;EUR/a
ghd6;device_cost;om_cost;BBOI;;1917.48;EUR/a
ghd6;device;capacity;TES;;7410.1;kWh
ghd6;device_cost;inv;TES;;70201.35;EUR
ghd6;device_cost;inv_unsubsidized;TES;;117002.24;EUR
ghd6;device_cost;ann_inv;TES;;5671.97;EUR/a
ghd6;device_cost;ann_inv_unsubsidized;TES;;9453.28;EUR/a
ghd6;device_cost;om_cost;TES;;1521.03;EUR/a
ghd6;peak;peak_heat_uncl;;;{0: 2268.4631665252477, 5: 2073.1830915628457, 10: 1895.204854311229, 15: 1740.6417707615426, 20: 1585.8095475141329};kW
ghd6;peak;peak_power_uncl;;;546.2405576932968;kW
ghd6;peak;peak_heat_cl;;;2086.392987835153;kW
ghd6;peak;peak_power_cl;;;530.9798842309084;kW
ghd6;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;0;0.0;kWh
ghd6;heat_profile_devs_by_year;heat_kW;STC;0;0;kW
