Support_Year;Cluster;Timestep;PV;HP;EB;from_grid;to_grid;from_main_grid;to_main_grid;Power_Demand_kW
0;0;0;0;0;0;147.77;0;147.77;0;147.77
0;0;1;0;347.68;0;499.781;0;499.781;0;152.101
0;0;2;0;123.618;0;271.256;0;271.256;0;147.638
0;0;3;0;263.467;0;412.002;0;412.002;0;148.535
0;0;4;0;271.291;0;420.26;0;420.26;0;148.969
0;0;5;0;277.992;0;425.258;0;425.258;0;147.265
0;0;6;0;296.762;0;449.948;0;449.948;0;153.187
0;0;7;0;249.75;0;705.361;0;705.361;0;455.611
0;0;8;147.732;226.589;0;548.033;0;548.033;0;469.176
0;0;9;484.555;228.31;0;94.317;0;94.317;0;350.563
0;0;10;561.31;196.34;0;8.799;0;8.799;0;373.768
0;0;11;327.947;181.332;0;218.676;0;218.676;0;365.291
0;0;12;434.134;156.506;0;65.262;0;65.262;0;342.889
0;0;13;194.193;279.698;0;448.696;0;448.696;0;363.191
0;0;14;149.943;0;0;242.328;0;242.328;0;392.271
0;0;15;417.037;145.584;0;68.943;0;68.943;0;340.397
0;0;16;260.421;136.418;0;207.905;0;207.905;0;331.908
0;0;17;79.784;128.746;0;484.128;0;484.128;0;435.166
0;0;18;1.534;327.712;0;762.006;0;762.006;0;435.828
0;0;19;0;0;0;444.103;0;444.103;0;444.103
0;0;20;0;247.858;0;598.346;0;598.346;0;350.488
0;0;21;0;333.153;0;543.397;0;543.397;0;210.244
0;0;22;0;338.597;0;533.34;0;533.34;0;194.743
0;0;23;0;343.137;0;526.419;0;526.419;0;183.282
0;0;24;0;0;0;148.336;0;148.336;0;148.336
0;0;25;0;0;0;147.39;0;147.39;0;147.39
0;0;26;0;264.977;0;408.9;0;408.9;0;143.924
0;0;27;0;357.683;0;506.068;0;506.068;0;148.385
0;0;28;0;358.593;0;508.15;0;508.15;0;149.557
0;0;29;0;364.966;0;513.585;0;513.585;0;148.619
0;0;30;0;102.779;0;263.939;0;263.939;0;161.16
0;0;31;0;288.293;0;744.896;0;744.896;0;456.603
0;0;32;136.511;260.814;0;597.593;0;597.593;0;473.29
0;0;33;424.411;257.687;0;188.715;0;188.715;0;355.438
0;0;34;630.689;260.086;0;0;0;0;0;370.603
0;0;35;635.991;273.237;0;0;0;0;0;362.755
0;0;36;471.565;114.737;0;0;0;0;0;356.828
0;0;37;922.933;333.153;0;0;238.149;0;238.149;351.631
0;0;38;1048.75;330.432;0;0;344.279;0;344.279;374.039
0;0;39;841.077;324.087;0;0;177.264;0;177.264;339.726
0;0;40;430.195;89.846;0;0;0;0;0;340.349
0;0;41;145.083;265.989;0;503.418;0;503.418;0;382.512
0;0;42;3.069;326.806;0;755.511;0;755.511;0;431.775
0;0;43;0;332.246;0;791.205;0;791.205;0;458.96
0;0;44;0;336.782;0;676.034;0;676.034;0;339.252
0;0;45;0;0;0;217.236;0;217.236;0;217.236
0;0;46;0;0;0;199.022;0;199.022;0;199.022
0;0;47;0;0;0;180.544;0;180.544;0;180.544
0;0;48;0;0;0;146.92;0;146.92;0;146.92
0;0;49;0;0;0;149.82;0;149.82;0;149.82
0;0;50;0;0;0;150.462;0;150.462;0;150.462
0;0;51;0;0;0;144.922;0;144.922;0;144.922
0;0;52;0;0;0;147.904;0;147.904;0;147.904
0;0;53;0;0;0;148.174;0;148.174;0;148.174
0;0;54;0;101.66;0;260.08;0;260.08;0;158.42
0;0;55;0;127.543;0;536.619;0;536.619;0;409.076
0;0;56;92.784;124.457;0;441.777;0;441.777;0;410.104
0;0;57;248.858;114.363;0;186.92;0;186.92;0;321.414
0;0;58;437.901;130.771;0;0;0;0;0;307.13
0;0;59;606.614;294.27;0;0;0;0;0;312.344
0;0;60;323.744;44.268;0;36.675;0;36.675;0;316.15
0;0;61;132.92;0;0;212.81;0;212.81;0;345.73
0;0;62;106.78;0;0;260.915;0;260.915;0;367.695
0;0;63;620.531;315.637;0;0;0;0;0;304.895
0;0;64;643.554;323.181;0;0;7.983;0;7.983;312.389
0;0;65;109.332;0;0;263.016;0;263.016;0;372.348
0;0;66;1.531;0;0;442.393;0;442.393;0;443.924
0;0;67;0;127.847;0;580.98;0;580.98;0;453.132
0;0;68;0;300.561;0;655.233;0;655.233;0;354.672
0;0;69;0;300.561;0;521.361;0;521.361;0;220.8
0;0;70;0;305.081;0;505.31;0;505.31;0;200.229
0;0;71;0;320.463;0;509.615;0;509.615;0;189.152
0;0;72;0;0;0;140.001;0;140.001;0;140.001
0;0;73;0;0;0;139.906;0;139.906;0;139.906
0;0;74;0;0;0;138.774;0;138.774;0;138.774
0;0;75;0;0;0;139.524;0;139.524;0;139.524
0;0;76;0;0;0;143.338;0;143.338;0;143.338
0;0;77;0;0;0;143.901;0;143.901;0;143.901
0;0;78;0;0;0;143.165;0;143.165;0;143.165
0;0;79;0;0;0;153.595;0;153.595;0;153.595
0;0;80;29.791;0;0;142.515;0;142.515;0;172.307
0;0;81;80.478;0;0;91.84;0;91.84;0;172.317
0;0;82;130.458;176.098;0;214.856;0;214.856;0;169.216
0;0;83;222.059;327.116;0;249.996;0;249.996;0;144.938
0;0;84;331.025;364.966;0;173.058;0;173.058;0;139.116
0;0;85;285.202;364.966;0;217.149;0;217.149;0;137.385
0;0;86;157.837;365.877;0;356.451;0;356.451;0;148.411
0;0;87;258.675;357.683;0;227.038;0;227.038;0;128.03
0;0;88;150.87;357.683;0;353.247;0;353.247;0;146.433
0;0;89;232.566;362.234;0;282.79;0;282.79;0;153.121
0;0;90;23.427;368.611;0;540.587;0;540.587;0;195.402
0;0;91;0;370.434;0;589.555;0;589.555;0;219.121
0;0;92;0;372.257;0;579.521;0;579.521;0;207.264
0;0;93;0;376.818;0;583.399;0;583.399;0;206.581
0;0;94;0;377.73;0;565.001;0;565.001;0;187.271
0;0;95;0;377.73;0;549.303;0;549.303;0;171.573
0;0;96;0;380.468;0;518.658;0;518.658;0;138.189
0;0;97;0;384.121;0;526.693;0;526.693;0;142.572
0;0;98;0;385.948;0;524.814;0;524.814;0;138.866
0;0;99;0;388.689;0;527.268;0;527.268;0;138.579
0;0;100;0;388.689;0;530.127;0;530.127;0;141.438
0;0;101;0;388.689;0;528.752;0;528.752;0;140.063
0;0;102;0;386.861;0;528.374;0;528.374;0;141.513
0;0;103;0;387.775;0;814.535;0;814.535;0;426.76
0;0;104;110.653;385.034;0;704.201;0;704.201;0;429.82
0;0;105;263.521;381.381;257.763;715.229;0;715.229;0;339.606
0;0;106;237.998;377.73;257.763;748.181;0;748.181;0;350.687
0;0;107;187.437;374.081;218.756;759.735;0;759.735;0;354.335
0;0;108;169.62;370.434;141.677;689.787;0;689.787;0;347.297
0;0;109;141.954;365.877;40.724;624.268;0;624.268;0;359.621
0;0;110;584.022;359.503;8.073;133.536;0;133.536;0;349.982
0;0;111;519.705;355.863;0;166.365;0;166.365;0;330.207
0;0;112;80.697;356.773;0;692.83;0;692.83;0;416.754
0;0;113;64.504;367.7;0;740.163;0;740.163;0;436.967
0;0;114;25.044;371.345;0;759.286;0;759.286;0;412.985
0;0;115;0;380.468;0;795.816;0;795.816;0;415.348
0;0;116;0;387.775;0;713.365;0;713.365;0;325.59
0;0;117;0;385.948;24.093;612.158;0;612.158;0;202.117
0;0;118;0;387.775;145.011;721.438;0;721.438;0;188.651
0;0;119;0;389.603;151.104;730.198;0;730.198;0;189.491
0;0;120;0;391.431;191.103;720.206;0;720.206;0;137.672
0;0;121;0;390.517;185.961;717.285;0;717.285;0;140.807
0;0;122;0;389.603;191.046;719.803;0;719.803;0;139.154
0;0;123;0;393.26;206.166;739.744;0;739.744;0;140.318
0;0;124;0;393.26;208.06;742.097;0;742.097;0;140.776
0;0;125;0;393.26;210.884;741.633;0;741.633;0;137.488
0;0;126;0;391.431;248.521;783.17;0;783.17;0;143.218
0;0;127;0;392.346;83.657;906.849;0;906.849;0;430.847
0;0;128;133.316;392.346;0;703.899;0;703.899;0;444.87
0;0;129;429.646;388.689;0;276.828;0;276.828;0;317.785
0;0;130;423.571;382.294;0;304.787;0;304.787;0;346.064
0;0;131;185.759;383.207;0;535.055;0;535.055;0;337.606
0;0;132;126.671;386.861;0;627.053;0;627.053;0;366.864
0;0;133;238.342;379.555;0;463.002;0;463.002;0;321.788
0;0;134;203.38;374.993;0;519.112;0;519.112;0;347.499
0;0;135;395.798;364.966;0;295.06;0;295.06;0;325.891
0;0;136;333.907;366.788;0;343.605;0;343.605;0;310.723
0;0;137;342.162;368.611;0;335.285;0;335.285;0;308.836
0;0;138;9.374;376.818;0;763.153;0;763.153;0;395.709
0;0;139;0;381.381;0;798.854;0;798.854;0;417.473
0;0;140;0;385.948;0;715.942;0;715.942;0;329.994
0;0;141;0;391.431;0;597.168;0;597.168;0;205.737
0;0;142;0;397.835;0;602.572;0;602.572;0;204.737
0;0;143;0;399.665;0;582.391;0;582.391;0;182.726
0;0;144;0;399.665;0;539.248;0;539.248;0;139.583
0;0;145;0;406.993;0;546.018;0;546.018;0;139.025
0;0;146;0;406.077;0;545.287;0;545.287;0;139.211
0;0;147;0;413.412;0;554.008;0;554.008;0;140.597
0;0;148;0;416.164;0;557.896;0;557.896;0;141.731
0;0;149;0;418.918;0;565.077;0;565.077;0;146.159
0;0;150;0;426.268;0;571.12;0;571.12;0;144.852
0;0;151;4.752;425.349;0;849.946;0;849.946;0;429.35
0;0;152;288.756;424.43;0;499.812;0;499.812;0;364.138
0;0;153;751.885;418;8.894;0;0;0;0;324.991
0;0;154;910.315;406.077;159.402;0;0;0;0;344.837
0;0;155;657.475;394.175;0;67.635;0;67.635;0;330.935
0;0;156;874.829;388.689;163.718;0;0;0;0;322.421
0;0;157;442.347;383.207;0;262.131;0;262.131;0;321.271
0;0;158;154.984;388.689;0;595.117;0;595.117;0;361.412
0;0;159;272.657;387.775;0;444.334;0;444.334;0;329.216
0;0;160;436.585;398.75;0;278.011;0;278.011;0;315.846
0;0;161;242.14;401.497;0;472.802;0;472.802;0;313.445
0;0;162;33.052;401.497;0;770.856;0;770.856;0;402.411
0;0;163;0;410.66;0;840.797;0;840.797;0;430.137
0;0;164;0;415.247;0;742.069;0;742.069;0;326.822
0;0;165;0;420.755;0;624.958;0;624.958;0;204.203
0;0;166;0;425.349;0;617.852;0;617.852;0;192.504
0;0;167;0;418.918;184.798;773.173;0;773.173;0;169.456
0;1;0;0;0;0;138.851;0;138.851;0;138.851
0;1;1;0;0;0;142.253;0;142.253;0;142.253
0;1;2;0;0;0;141.421;0;141.421;0;141.421
0;1;3;0;0;0;140.014;0;140.014;0;140.014
0;1;4;0;0;0;141.186;0;141.186;0;141.186
0;1;5;0;0;0;143.169;0;143.169;0;143.169
0;1;6;15.535;0;0;130.678;0;130.678;0;146.213
0;1;7;170.25;0;0;113.243;0;113.243;0;283.492
0;1;8;479.871;0;0;0;167.698;0;167.698;312.173
0;1;9;826.15;0;0;0;490.608;0;490.608;335.542
0;1;10;1100.169;0;0;0;749.462;0;749.462;350.707
0;1;11;1246.996;0;0;0;914.64;0;914.64;332.356
0;1;12;1361.542;0;0;0;1043.114;0;1043.114;318.428
0;1;13;1525.365;0;0;0;1196.758;0;1196.758;328.607
0;1;14;1249.476;0;0;0;908.09;0;908.09;341.387
0;1;15;852.271;0;0;0;531.541;0;531.541;320.73
0;1;16;582.403;86.645;0;0;191.585;0;191.585;304.174
0;1;17;352.643;68.19;0;0;0;0;0;284.452
0;1;18;154.676;0;0;143.55;0;143.55;0;298.226
0;1;19;5.966;0;0;412.12;0;412.12;0;418.085
0;1;20;0;0;0;329.895;0;329.895;0;329.895
0;1;21;0;0;0;199.016;0;199.016;0;199.016
0;1;22;0;0;0;191.234;0;191.234;0;191.234
0;1;23;0;0;0;173.048;0;173.048;0;173.048
0;1;24;0;0;0;137.731;0;137.731;0;137.731
0;1;25;0;0;0;139.712;0;139.712;0;139.712
0;1;26;0;0;0;141.565;0;141.565;0;141.565
0;1;27;0;0;0;140.195;0;140.195;0;140.195
0;1;28;0;0;0;141.526;0;141.526;0;141.526
0;1;29;0;0;0;142.101;0;142.101;0;142.101
0;1;30;12.638;0;0;132.706;0;132.706;0;145.344
0;1;31;157.568;0;0;124.114;0;124.114;0;281.681
0;1;32;466.492;10.286;0;0;134.384;0;134.384;321.822
0;1;33;784.164;11.802;0;0;448.154;0;448.154;324.208
0;1;34;1015.492;14.175;0;0;658.012;0;658.012;343.305
0;1;35;1227.295;12.522;0;0;871.364;0;871.364;343.41
0;1;36;1487.611;12.134;0;0;1160.107;0;1160.107;315.37
0;1;37;1517.618;9.585;0;0;1187.51;0;1187.51;320.523
0;1;38;1420.671;10.756;0;0;1056.644;0;1056.644;353.271
0;1;39;1204.432;22.326;0;0;861.676;0;861.676;320.429
0;1;40;901.849;0;0;0;589.878;0;589.878;311.971
0;1;41;537.525;144.163;0;0;103.227;0;103.227;290.135
0;1;42;237.259;0;0;41.986;0;41.986;0;279.245
0;1;43;22.959;0;0;394.832;0;394.832;0;417.79
0;1;44;0;0;0;320.656;0;320.656;0;320.656
0;1;45;0;0;0;206.804;0;206.804;0;206.804
0;1;46;0;0;0;192.975;0;192.975;0;192.975
0;1;47;0;0;0;178.724;0;178.724;0;178.724
0;1;48;0;0;0;139.863;0;139.863;0;139.863
0;1;49;0;0;0;142.22;0;142.22;0;142.22
0;1;50;0;0;0;141.446;0;141.446;0;141.446
0;1;51;0;0;0;140.181;0;140.181;0;140.181
0;1;52;0;0;0;141.122;0;141.122;0;141.122
0;1;53;0;0;0;141.979;0;141.979;0;141.979
0;1;54;7.504;0;0;138.335;0;138.335;0;145.838
0;1;55;95.043;0;0;229.912;0;229.912;0;324.955
0;1;56;376.083;0;0;0;90.464;0;90.464;285.62
0;1;57;709.645;0;0;0;432.564;0;432.564;277.081
0;1;58;994.035;9.496;0;0;688.003;0;688.003;296.537
0;1;59;1191.704;9.874;0;0;901.4;0;901.4;280.43
0;1;60;1365.287;9.001;0;0;1069.412;0;1069.412;286.874
0;1;61;1221.403;9.196;0;0;918.034;0;918.034;294.173
0;1;62;804.573;8.449;0;0;504.531;0;504.531;291.593
0;1;63;337.127;60.666;0;0;0;0;0;276.461
0;1;64;543.785;97.475;0;0;170.51;0;170.51;275.8
0;1;65;418.062;0;0;0;142.699;0;142.699;275.363
0;1;66;172.167;0;0;104.764;0;104.764;0;276.931
0;1;67;20.896;0;0;396.286;0;396.286;0;417.182
0;1;68;0;0;0;320.126;0;320.126;0;320.126
0;1;69;0;0;0;201.058;0;201.058;0;201.058
0;1;70;0;0;0;199.677;0;199.677;0;199.677
0;1;71;0;0;0;176.136;0;176.136;0;176.136
0;1;72;0;0;0;141.081;0;141.081;0;141.081
0;1;73;0;0;0;139.87;0;139.87;0;139.87
0;1;74;0;0;0;141.628;0;141.628;0;141.628
0;1;75;0;0;0;140.025;0;140.025;0;140.025
0;1;76;0;0;0;140.688;0;140.688;0;140.688
0;1;77;0;0;0;142.174;0;142.174;0;142.174
0;1;78;9.079;0;0;133.207;0;133.207;0;142.286
0;1;79;119.043;0;0;10.237;0;10.237;0;129.28
0;1;80;427.196;0;0;0;295.386;0;295.386;131.81
0;1;81;819.614;10.707;0;0;672.277;0;672.277;136.629
0;1;82;1142.59;8.523;0;0;986.31;0;986.31;147.757
0;1;83;1381.151;10.78;0;0;1227.596;0;1227.596;142.775
0;1;84;1481.136;10.167;0;0;1330.808;0;1330.808;140.161
0;1;85;1376.891;8.83;0;0;1220.983;0;1220.983;147.078
