scenario;category;metric;device;year;value;unit
residential0;optimization;tac_distr;;;176915;EUR/a
residential0;optimization;co2_distr;;;1994;t/a
residential0;optimization;tac_per_distr_year;;0;205579;EUR/a
residential0;optimization;co2_sum_distr_year;;0;1372.000000;t/a
residential0;optimization;LCOE_year;;0;83.1305672679;EUR/MWh
residential0;optimization;tac_per_distr_year;;5;174524;EUR/a
residential0;optimization;co2_sum_distr_year;;5;372.000000;t/a
residential0;optimization;LCOE_year;;5;78.2048564670;EUR/MWh
residential0;optimization;tac_per_distr_year;;10;161662;EUR/a
residential0;optimization;co2_sum_distr_year;;10;164.000000;t/a
residential0;optimization;LCOE_year;;10;78.3879359295;EUR/MWh
residential0;optimization;tac_per_distr_year;;15;146815;EUR/a
residential0;optimization;co2_sum_distr_year;;15;84.000000;t/a
residential0;optimization;LCOE_year;;15;77.0733612803;EUR/MWh
residential0;optimization;tac_per_distr_year;;20;141368;EUR/a
residential0;optimization;co2_sum_distr_year;;20;0.000000;t/a
residential0;optimization;LCOE_year;;20;80.3585580791;EUR/MWh
residential0;cost;co2_tax_total;;;0;EUR/a
residential0;cost;total_inv_cost;;;1239134;EUR/a
residential0;cost;total_inv_cost_unsubsidized;;;1405264;EUR/a
residential0;cost;total_ann_inv_cost;;;86529;EUR/a
residential0;cost;total_ann_inv_cost_unsubsidized;;;98784;EUR/a
residential0;cost;total_om_cost;;;24835;EUR/a
residential0;cost;supply_costs_el;;;88775;EUR/a
residential0;cost;cap_costs_el;;;0;EUR/a
residential0;cost;total_el_costs;;;88775;EUR/a
residential0;cost;rev_feed_in_el;;;15812;EUR/a
residential0;cost;supply_costs_gas;;;0;EUR/a
residential0;cost;cap_costs_gas;;;0;EUR/a
residential0;cost;total_gas_costs;;;0;EUR/a
residential0;cost;rev_feed_in_gas;;;0;EUR/a
residential0;cost;supply_costs_biom;;;0;EUR/a
residential0;cost;supply_costs_waste;;;0;EUR/a
residential0;cost;supply_costs_hydrogen;;;0;EUR/a
residential0;co2;co2_onsite_emissions;;;0;t/a
residential0;co2;co2_credit_feedin;;;0;t/a
residential0;co2;total_co2_el;;;0.0;t/a
residential0;co2;total_co2_el_feed_in;;;0.0;t/a
residential0;co2;total_co2_gas;;;0;t/a
residential0;co2;total_co2_gas_feed_in;;;0;t/a
residential0;co2;total_co2_biom;;;0;t/a
residential0;co2;total_co2_waste;;;0;t/a
residential0;co2;total_co2_hydrogen;;;0;t/a
residential0;grid;from_el_grid_total;;;14878;MWh
residential0;grid;to_el_grid_total;;;4171;MWh
residential0;grid;from_el_main_grid_total;;;14878;MWh
residential0;grid;to_el_main_grid_total;;;4171;MWh
residential0;grid;from_network_total;;;0;MWh
residential0;grid;to_network_total;;;0;MWh
