Support_Year;Cluster;Timestep;Power_Demand_kW;HP;EB;from_grid;from_main_grid;from_network
0;0;0;7.517;122.289;0;129.806;129.806;0
0;0;1;11.379;177.083;0;188.462;188.462;0
0;0;2;9.868;0;0;9.868;9.868;0
0;0;3;11.078;156.853;0;167.931;167.931;0
0;0;4;9.938;178.313;0;188.251;188.251;0
0;0;5;11.585;181.423;0;193.008;193.008;0
0;0;6;14.102;179.686;0;193.789;193.789;0
0;0;7;40.204;175.782;0;215.986;215.986;0
0;0;8;47.539;150.971;0;198.511;198.511;0
0;0;9;54.194;130.993;0;185.187;58.318;126.869
0;0;10;42.962;112.643;0;155.605;155.605;0
0;0;11;45.184;99.58;0;144.764;144.764;0
0;0;12;40.766;98.381;0;139.148;69.879;69.269
0;0;13;41.214;84.27;0;125.484;125.484;0
0;0;14;51.127;147.278;0;198.405;198.405;0
0;0;15;44.797;82.177;0;126.974;126.974;0
0;0;16;36.948;152.876;0;189.824;189.824;0
0;0;17;56.5;0;0;56.5;56.5;0
0;0;18;61.23;156.755;0;217.985;217.985;0
0;0;19;65.85;67.085;0;132.935;132.935;0
0;0;20;74.226;159.344;0;233.57;233.57;0
0;0;21;67.551;111.846;0;179.397;179.397;0
0;0;22;58.444;121.675;0;180.119;180.119;0
0;0;23;36.401;0;0;36.401;36.401;0
0;0;24;10.609;104.007;0;114.616;114.616;0
0;0;25;16.714;148.492;0;165.206;165.206;0
0;0;26;10.663;156.38;0;167.043;167.043;0
0;0;27;13.393;168.497;0;181.89;181.89;0
0;0;28;11.987;181.858;0;193.844;193.844;0
0;0;29;12.536;182.292;0;194.828;194.828;0
0;0;30;14.913;185.334;0;200.247;200.247;0
0;0;31;39.081;185.334;0;224.416;224.416;0
0;0;32;52.147;182.553;0;234.701;234.701;0
0;0;33;41.641;178.101;0;219.743;219.743;0
0;0;34;41.026;168.462;0;209.488;209.488;0
0;0;35;42.819;160.358;0;203.177;0;203.177
0;0;36;36.35;176.649;0;212.999;212.999;0
0;0;37;36.258;133.59;0;169.848;169.848;0
0;0;38;40.791;148.007;0;188.798;188.798;0
0;0;39;39.624;145.457;0;185.081;185.081;0
0;0;40;49.319;135.15;0;184.469;122.1;62.369
