Support_Year;Cluster;Timestep;to_network_kW;from_network_kW;to_main_grid_kW;from_main_grid_kW;to_grid_kW;from_grid_kW
0;0;0;0.0;0.0;0.0;7.307;0.0;7.307
0;0;1;0.0;0.0;0.0;87.492;0.0;87.492
0;0;2;0.0;23.887;0.0;0.0;0.0;23.887
0;0;3;0.0;10.749;0.0;0.0;0.0;10.749
0;0;4;0.0;26.564;0.0;0.0;0.0;26.564
0;0;5;0.0;23.026;0.0;0.0;0.0;23.026
0;0;6;3.351;0.0;0.0;0.0;3.351;0.0
0;0;7;0.0;0.0;0.0;16.969;0.0;16.969
0;0;8;0.0;0.0;0.0;30.463;0.0;30.463
0;0;9;0.0;0.0;87.769;0.0;87.769;0.0
0;0;10;0.0;0.0;121.937;0.0;121.937;0.0
0;0;11;19.129;0.0;0.0;0.0;19.129;0.0
0;0;12;0.0;7.951;0.0;0.0;0.0;7.951
0;0;13;0.0;0.0;78.363;0.0;78.363;0.0
0;0;14;0.0;0.0;238.312;0.0;238.312;0.0
0;0;15;0.0;0.0;96.015;0.0;96.015;0.0
0;0;16;12.341;0.0;17.297;0.0;29.638;0.0
0;0;17;10.395;0.0;0.0;0.0;10.395;0.0
0;0;18;0.0;0.0;0.0;114.653;0.0;114.653
0;0;19;0.0;0.0;0.0;164.614;0.0;164.614
0;0;20;0.0;0.0;0.0;172.482;0.0;172.482
0;0;21;0.0;0.0;0.0;177.231;0.0;177.231
0;0;22;0.0;0.0;0.0;177.814;0.0;177.814
0;0;23;0.0;0.0;0.0;156.552;0.0;156.552
0;0;24;0.0;0.0;0.0;7.935;0.0;7.935
0;0;25;0.0;18.546;0.0;0.0;0.0;18.546
0;0;26;0.0;20.107;0.0;0.0;0.0;20.107
0;0;27;0.0;24.591;0.0;0.0;0.0;24.591
0;0;28;0.0;22.166;0.0;0.0;0.0;22.166
0;0;29;0.0;2.932;0.0;0.0;0.0;2.932
0;0;30;1.881;0.0;0.0;0.0;1.881;0.0
0;0;31;0.0;2.527;0.0;0.0;0.0;2.527
0;0;32;0.0;0.0;97.415;0.0;97.415;0.0
0;0;33;0.0;0.0;87.335;0.0;87.335;0.0
0;0;34;0.0;0.0;286.517;0.0;286.517;0.0
0;0;35;0.0;0.0;318.4;0.0;318.4;0.0
0;0;36;0.0;0.0;184.016;0.0;184.016;0.0
0;0;37;0.0;0.0;67.259;0.0;67.259;0.0
0;0;38;0.0;0.0;53.426;0.0;53.426;0.0
0;0;39;0.0;10.027;0.0;0.0;0.0;10.027
0;0;40;16.499;0.0;0.0;0.0;16.499;0.0
0;0;41;20.918;0.0;0.0;0.0;20.918;0.0
0;0;42;0.0;0.0;0.0;67.403;0.0;67.403
0;0;43;0.0;0.0;0.0;86.626;0.0;86.626
0;0;44;0.0;0.0;0.0;162.801;0.0;162.801
0;0;45;0.0;0.0;0.0;82.64;0.0;82.64
0;0;46;0.0;0.0;0.0;165.358;0.0;165.358
0;0;47;0.0;0.0;0.0;140.969;0.0;140.969
0;0;48;0.0;0.0;0.0;89.837;0.0;89.837
0;0;49;0.0;0.0;0.0;96.524;0.0;96.524
0;0;50;0.0;0.0;0.0;97.216;0.0;97.216
0;0;51;0.0;0.0;0.0;94.718;0.0;94.718
0;0;52;0.0;0.0;0.0;95.065;0.0;95.065
0;0;53;0.0;0.0;0.0;12.923;0.0;12.923
0;0;54;0.0;0.0;0.0;16.388;0.0;16.388
0;0;55;0.0;0.0;0.0;61.496;0.0;61.496
0;0;56;0.0;0.0;52.767;0.0;52.767;0.0
0;0;57;0.0;0.0;225.226;0.0;225.226;0.0
0;0;58;0.0;0.0;177.393;0.0;177.393;0.0
0;0;59;0.0;0.0;64.7;0.0;64.7;0.0
0;0;60;0.0;0.0;127.801;0.0;127.801;0.0
0;0;61;0.0;0.0;270.681;0.0;270.681;0.0
0;0;62;0.0;0.0;168.165;0.0;168.165;0.0
0;0;63;0.0;0.0;173.449;0.0;173.449;0.0
0;0;64;0.0;0.0;138.687;0.0;138.687;0.0
0;0;65;0.0;0.0;151.75;0.0;151.75;0.0
0;0;66;0.0;0.0;0.0;8.898;0.0;8.898
0;0;67;0.0;0.0;0.0;122.068;0.0;122.068
0;0;68;0.0;0.0;0.0;136.067;0.0;136.067
0;0;69;0.0;0.0;0.0;91.643;0.0;91.643
0;0;70;0.0;0.0;0.0;84.976;0.0;84.976
0;0;71;0.0;0.0;0.0;66.073;0.0;66.073
0;0;72;0.0;0.0;0.0;8.508;0.0;8.508
0;0;73;0.0;0.0;0.0;18.957;0.0;18.957
0;0;74;0.0;0.0;0.0;11.347;0.0;11.347
0;0;75;0.0;0.0;0.0;11.755;0.0;11.755
0;0;76;0.0;0.0;0.0;10.321;0.0;10.321
0;0;77;0.0;0.0;0.0;15.301;0.0;15.301
0;0;78;0.0;0.0;0.0;9.609;0.0;9.609
0;0;79;26.817;0.0;0.0;0.0;26.817;0.0
0;0;80;0.0;0.0;105.045;0.0;105.045;0.0
0;0;81;0.0;0.0;255.138;0.0;255.138;0.0
0;0;82;0.0;0.0;392.527;0.0;392.527;0.0
0;0;83;0.0;0.0;441.812;0.0;441.812;0.0
0;0;84;0.0;0.0;286.849;0.0;286.849;0.0
0;0;85;0.0;0.0;138.548;0.0;138.548;0.0
0;0;86;0.0;0.0;104.81;0.0;104.81;0.0
0;0;87;0.0;0.0;55.679;0.0;55.679;0.0
0;0;88;0.0;0.0;36.172;0.0;36.172;0.0
0;0;89;0.0;0.0;0.0;0.723;0.0;0.723
0;0;90;0.0;0.0;0.0;12.432;0.0;12.432
0;0;91;0.0;0.0;0.0;70.409;0.0;70.409
0;0;92;0.0;0.0;0.0;71.489;0.0;71.489
0;0;93;0.0;0.0;0.0;78.937;0.0;78.937
0;0;94;0.0;0.0;0.0;92.456;0.0;92.456
0;0;95;0.0;0.0;0.0;69.776;0.0;69.776
0;0;96;0.0;0.0;0.0;7.154;0.0;7.154
0;0;97;0.0;0.0;0.0;19.333;0.0;19.333
0;0;98;0.0;0.0;0.0;11.43;0.0;11.43
0;0;99;0.0;0.0;0.0;10.736;0.0;10.736
0;0;100;0.0;0.0;0.0;11.176;0.0;11.176
0;0;101;0.0;0.0;0.0;12.611;0.0;12.611
0;0;102;0.0;0.0;0.0;10.139;0.0;10.139
0;0;103;0.0;0.0;0.0;9.141;0.0;9.141
0;0;104;0.0;11.086;0.0;0.0;0.0;11.086
0;0;105;13.77;0.0;28.866;0.0;42.636;0.0
0;0;106;0.0;0.0;266.503;0.0;266.503;0.0
0;0;107;0.0;0.0;307.544;0.0;307.544;0.0
0;0;108;0.0;0.0;47.456;0.0;47.456;0.0
0;0;109;0.0;4.009;0.0;0.0;0.0;4.009
0;0;110;19.039;0.0;0.0;0.0;19.039;0.0
0;0;111;17.637;0.0;0.0;0.0;17.637;0.0
0;0;112;28.407;0.0;0.0;0.0;28.407;0.0
0;0;113;4.034;0.0;0.0;0.0;4.034;0.0
0;0;114;37.933;0.0;0.0;0.0;37.933;0.0
0;0;115;0.0;0.0;0.0;68.04;0.0;68.04
0;0;116;0.0;0.0;0.0;98.484;0.0;98.484
0;0;117;0.0;0.0;0.0;71.275;0.0;71.275
0;0;118;0.0;0.0;0.0;76.473;0.0;76.473
0;0;119;0.0;0.0;0.0;68.173;0.0;68.173
0;0;120;0.0;0.0;0.0;7.466;0.0;7.466
0;0;121;0.0;0.0;0.0;22.831;0.0;22.831
0;0;122;0.0;0.0;0.0;11.782;0.0;11.782
0;0;123;0.0;0.0;0.0;12.196;0.0;12.196
0;0;124;0.0;0.0;0.0;10.513;0.0;10.513
0;0;125;0.0;0.0;0.0;14.289;0.0;14.289
0;0;126;0.0;0.0;0.0;17.371;0.0;17.371
0;0;127;12.797;0.0;0.0;0.0;12.797;0.0
0;0;128;0.0;0.0;60.538;0.0;60.538;0.0
0;0;129;0.0;0.0;236.746;0.0;236.746;0.0
0;0;130;0.0;0.0;406.475;0.0;406.475;0.0
0;0;131;0.0;0.0;542.768;0.0;542.768;0.0
0;0;132;0.0;0.0;566.119;0.0;566.119;0.0
0;0;133;0.0;0.0;335.177;0.0;335.177;0.0
0;0;134;0.0;0.0;213.926;0.0;213.926;0.0
0;0;135;0.0;0.0;288.673;0.0;288.673;0.0
0;0;136;0.0;0.0;291.154;0.0;291.154;0.0
0;0;137;0.0;0.0;161.378;0.0;161.378;0.0
0;0;138;0.0;0.0;31.611;0.0;31.611;0.0
0;0;139;0.0;0.0;0.0;41.276;0.0;41.276
0;0;140;0.0;0.0;0.0;94.868;0.0;94.868
0;0;141;0.0;0.0;0.0;82.642;0.0;82.642
0;0;142;0.0;0.0;0.0;100.187;0.0;100.187
0;0;143;0.0;0.0;0.0;57.693;0.0;57.693
0;0;144;0.0;0.0;0.0;7.075;0.0;7.075
0;0;145;0.0;0.0;0.0;19.517;0.0;19.517
0;0;146;0.0;0.0;0.0;10.65;0.0;10.65
0;0;147;0.0;0.0;0.0;12.278;0.0;12.278
0;0;148;0.0;0.0;0.0;12.157;0.0;12.157
0;0;149;0.0;0.0;0.0;15.307;0.0;15.307
0;0;150;0.0;0.0;0.0;21.742;0.0;21.742
0;0;151;0.0;0.0;0.0;18.074;0.0;18.074
0;0;152;0.0;0.0;28.52;0.0;28.52;0.0
0;0;153;0.0;0.0;139.717;0.0;139.717;0.0
0;0;154;0.0;0.0;402.54;0.0;402.54;0.0
0;0;155;0.0;0.0;550.295;0.0;550.295;0.0
0;0;156;0.0;0.0;618.664;0.0;618.664;0.0
0;0;157;0.0;0.0;605.599;0.0;605.599;0.0
0;0;158;0.0;0.0;527.308;0.0;527.308;0.0
0;0;159;0.0;0.0;362.612;0.0;362.612;0.0
