scenario;category;metric;device;year;value;unit
rural;optimization;tac_distr;;;212805;EUR/a
rural;optimization;co2_distr;;;2480;t/a
rural;cost;co2_tax_total;;;0;EUR/a
rural;cost;total_inv_cost;;;1477330;EUR/a
rural;cost;total_inv_cost_unsubsidized;;;1822552;EUR/a
rural;cost;total_ann_inv_cost;;;107253;EUR/a
rural;cost;total_ann_inv_cost_unsubsidized;;;133793;EUR/a
rural;cost;total_om_cost;;;34770;EUR/a
rural;cost;supply_costs_el;;;70781;EUR/a
rural;cost;cap_costs_el;;;0;EUR/a
rural;cost;total_el_costs;;;70781;EUR/a
rural;cost;rev_feed_in_el;;;27004;EUR/a
rural;cost;supply_costs_gas;;;0;EUR/a
rural;cost;cap_costs_gas;;;0;EUR/a
rural;cost;total_gas_costs;;;0;EUR/a
rural;cost;rev_feed_in_gas;;;0;EUR/a
rural;cost;supply_costs_biom;;;44510;EUR/a
rural;cost;supply_costs_waste;;;0;EUR/a
rural;cost;supply_costs_hydrogen;;;0;EUR/a
rural;co2;co2_onsite_emissions;;;76;t/a
rural;co2;co2_credit_feedin;;;0;t/a
rural;co2;total_co2_el;;;0;t/a
rural;co2;total_co2_el_feed_in;;;0;t/a
rural;co2;total_co2_gas;;;0;t/a
rural;co2;total_co2_gas_feed_in;;;0;t/a
rural;co2;total_co2_biom;;;0;t/a
rural;co2;total_co2_waste;;;0;t/a
rural;co2;total_co2_hydrogen;;;0;t/a
rural;grid;from_el_grid_total;;;5933;MWh
rural;grid;to_el_grid_total;;;6802;MWh
rural;grid;from_el_main_grid_total;;;5933;MWh
rural;grid;to_el_main_grid_total;;;6802;MWh
rural;grid;from_network_total;;;0;MWh
rural;grid;to_network_total;;;0;MWh
rural;grid;from_gas_grid_total;;;0;MWh
rural;grid;to_gas_grid_total;;;0;MWh
rural;grid;biom_import_total;;;16349;MWh
rural;grid;waste_import_total;;;0;MWh
rural;grid;hydrogen_import_total;;;0;MWh
rural;grid;max_el_from_grid;;;209;kW
rural;grid;max_el_to_grid;;;394;kW
rural;grid;max_el_from_main_grid;;;209;kW
rural;grid;max_el_to_main_grid;;;394;kW
rural;grid;max_el_from_network;;;0;kW
rural;grid;max_el_to_network;;;0;kW
rural;grid;max_gas_from_grid;;;0;kW
rural;grid;max_gas_to_grid;;;0;kW
rural;grid;max_biom;;;262;
rural;grid;max_waste;;;0;
rural;grid;max_hydrogen;;;0;
rural;area;PV;PV;;2798;qm
rural;area;STC;STC;;586;qm
rural;storage_volume;vol_liter;TES;;53876.5;l
rural;storage_volume;vol_liter;CTES;;0;l
rural;device;capacity;PV;;556.9;kW
rural;device_cost;inv;PV;;556903.89;EUR
rural;device_cost;ann_inv;PV;;41318.97;EUR/a
rural;device_cost;ann_inv_unsubsidized;PV;;41318.97;EUR/a
rural;device_cost;om_cost;PV;;11138.08;EUR/a
rural;device;capacity;STC;;410.8;kW
rural;device_cost;inv;STC;;191695.54;EUR
rural;device_cost;ann_inv;STC;;15382.15;EUR/a
rural;device_cost;ann_inv_unsubsidized;STC;;26369.39;EUR/a
rural;device_cost;om_cost;STC;;6572.42;EUR/a
rural;device;capacity;HP;;303.0;kW
rural;device_cost;inv;HP;;144468.56;EUR
rural;device_cost;ann_inv;HP;;10718.71;EUR/a
rural;device_cost;ann_inv_unsubsidized;HP;;24957.47;EUR/a
rural;device_cost;om_cost;HP;;11100.57;EUR/a
rural;device;capacity;BCHP;;92.0;kW
rural;device_cost;inv;BCHP;;104826.83;EUR
rural;device_cost;ann_inv;BCHP;;8411.58;EUR/a
rural;device_cost;ann_inv_unsubsidized;BCHP;;8411.58;EUR/a
rural;device_cost;om_cost;BCHP;;3144.8;EUR/a
rural;device;capacity;TES;;1876.7;kWh
rural;device_cost;inv;TES;;13248.12;EUR
rural;device_cost;ann_inv;TES;;1063.06;EUR/a
rural;device_cost;ann_inv_unsubsidized;TES;;2377.75;EUR/a
rural;device_cost;om_cost;TES;;385.22;EUR/a
rural;heat_by_year;heat_gen;STC;0;308070.5702040732;kWh
rural;heat_by_year;heat_kW;STC;0;410;kW
rural;heat_by_year;heat_gen;HP;0;1068277.8721999358;kWh
rural;heat_by_year;heat_kW;HP;0;303;kW
rural;heat_by_year;heat_gen;EB;0;0.0;kWh
rural;heat_by_year;heat_kW;EB;0;0;kW
rural;heat_by_year;heat_gen;AC;0;0.0;kWh
rural;heat_by_year;heat_kW;AC;0;0;kW
rural;heat_by_year;heat_gen;CHP;0;0.0;kWh
