district;Support_Year;from_network_total;to_network_total;from_main_grid_total;to_main_grid_total;from_grid_total;to_grid_total;Power_Demand_kW_total
ghd6;0;1.08058;77.54943;2607.14653;924.92332;2608.22711;1002.47275;2276.01847
ghd6;5;1.09938;76.86531;2431.79176;936.73618;2432.89114;1013.6015;2276.01847
ghd6;10;1.11231;75.55283;2302.95332;946.51069;2304.06563;1022.06352;2276.01847
ghd6;15;1.13344;74.05084;2219.82761;956.66969;2220.96105;1030.72053;2276.01847
ghd6;20;1.14018;72.30955;2136.14667;964.47496;2137.28684;1036.78451;2276.01847
mixed1;0;0.10574;32.64752;817.92932;352.04904;818.03506;384.69656;405.55929
mixed1;5;0.15119;33.87979;723.62957;356.16619;723.78075;390.04598;405.55929
mixed1;10;0.0304;33.52589;676.20044;358.75607;676.23084;392.28195;405.55929
mixed1;15;0.0;33.20884;634.00629;361.22201;634.00629;394.43086;405.55929
mixed1;20;0.0;32.87666;591.80728;363.70831;591.80728;396.58497;405.55929
residential2;0;110.73007;0.0;959.96737;0.0;1070.69744;0.0;335.67862
residential2;5;111.12444;0.0;844.53343;0.0;955.65788;0.0;335.67862
residential2;10;109.66111;0.0;792.31897;0.0;901.98008;0.0;335.67862
residential2;15;107.9547;0.0;746.50464;0.0;854.45934;0.0;335.67862
residential2;20;105.98653;0.0;700.66849;0.0;806.65503;0.0;335.67862
