Koordinatensystem : Lambert konform konisch
Rechtswert        : 4198500 Meter
Hochwert          : 2678500 Meter
Hoehenlage        : 304 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4198500 2678500  1  1  1   0.1  987 271  2.0 7  3.6  90    0    0 288 -313  2
4198500 2678500  1  1  2   0.4  987 247  2.6 7  3.5  88    0    0 289 -314  2
4198500 2678500  1  1  3   0.6  987 231  3.1 6  3.5  86    0    0 286 -315  2
4198500 2678500  1  1  4   0.6  987 236  3.2 6  3.5  85    0    0 281 -316  2
4198500 2678500  1  1  5   0.6  987 239  3.2 7  3.5  85    0    0 288 -316  2
4198500 2678500  1  1  6   0.5  987 250  2.3 7  3.5  86    0    0 295 -316  2
4198500 2678500  1  1  7   0.5  987 221  2.9 8  3.5  86    0    0 301 -316  2
4198500 2678500  1  1  8   0.6  987 228  3.1 8  3.5  86    0    0 308 -316  2
4198500 2678500  1  1  9   1.0  987 228  4.2 8  3.5  85    0    3 309 -316  2
4198500 2678500  1  1 10   1.0  987 225  3.4 8  3.6  85    0   33 310 -316  2
4198500 2678500  1  1 11   1.3  987 227  3.4 8  3.6  86    0   40 311 -316  2
4198500 2678500  1  1 12   1.5  987 237  3.5 8  3.7  85    0   41 313 -316  2
4198500 2678500  1  1 13   1.7  986 226  4.6 7  3.7  85    0   80 307 -316  2
4198500 2678500  1  1 14   1.7  986 236  3.9 8  3.8  86    0   38 309 -316  2
4198500 2678500  1  1 15   1.7  985 235  4.7 8  4.0  90    0   23 316 -316  2
4198500 2678500  1  1 16   1.5  985 236  3.7 8  4.1  93    0    8 317 -316  2
4198500 2678500  1  1 17   1.7  984 235  3.9 8  4.1  94    0    0 317 -316  2
4198500 2678500  1  1 18   1.4  984 247  3.4 8  4.1  94    0    0 318 -316  2
4198500 2678500  1  1 19   1.5  984 255  5.3 8  4.1  94    0    0 317 -316  2
4198500 2678500  1  1 20   1.6  985 274  4.4 8  4.1  93    0    0 316 -316  2
4198500 2678500  1  1 21   1.7  985 258  4.5 7  4.1  94    0    0 310 -316  2
4198500 2678500  1  1 22   2.0  985 266  4.6 8  4.2  94    0    0 309 -316  2
4198500 2678500  1  1 23   2.5  985 283  3.8 8  4.3  94    0    0 317 -316  2
4198500 2678500  1  1 24   2.9  986 302  3.6 7  4.4  93    0    0 311 -316  2
4198500 2678500  1  2  1   3.0  987 309  3.4 8  4.5  94    0    0 311 -316  2
4198500 2678500  1  2  2   2.9  987 319  4.1 8  4.6  94    0    0 316 -316  2
4198500 2678500  1  2  3   2.8  987 324  3.5 8  4.5  95    0    0 314 -316  2
4198500 2678500  1  2  4   2.7  988 304  3.2 8  4.5  95    0    0 312 -316  2
4198500 2678500  1  2  5   2.6  989 303  4.1 8  4.5  95    0    0 310 -316  2
4198500 2678500  1  2  6   2.3  989 293  3.8 8  4.4  94    0    0 308 -316  2
4198500 2678500  1  2  7   2.0  990 280  3.1 8  4.3  94    0    0 306 -316  2
4198500 2678500  1  2  8   1.8  990 251  3.1 8  4.2  95    0    0 305 -316  2
4198500 2678500  1  2  9   1.8  991 259  3.0 8  4.2  96    0    3 304 -316  2
4198500 2678500  1  2 10   1.9  991 261  3.6 8  4.2  95    2   39 305 -316  2
4198500 2678500  1  2 11   2.2  992 257  4.4 6  4.2  93   32   83 293 -316  2
4198500 2678500  1  2 12   2.5  992 245  4.6 7  4.1  90    8   99 287 -316  2
4198500 2678500  1  2 13   3.3  992 244  4.8 5  4.2  87   20  119 280 -316  2
4198500 2678500  1  2 14   3.8  991 220  5.0 5  4.2  84   87  111 270 -316  2
4198500 2678500  1  2 15   4.0  991 242  5.0 3  4.2  81   62   81 262 -317  2
4198500 2678500  1  2 16   3.2  991 246  3.8 4  4.1  82   10   35 259 -317  2
4198500 2678500  1  2 17   2.1  991 228  3.8 3  4.0  85    0    0 257 -317  2
4198500 2678500  1  2 18   1.3  991 226  3.5 3  3.9  88    0    0 248 -316  2
4198500 2678500  1  2 19   1.2  992 221  4.1 3  3.8  90    0    0 247 -315  2
4198500 2678500  1  2 20   1.0  992 226  4.8 3  3.7  89    0    0 247 -312  2
4198500 2678500  1  2 21   0.6  992 233  6.3 4  3.7  89    0    0 253 -310  2
4198500 2678500  1  2 22   0.4  991 233  4.7 2  3.6  89    0    0 248 -309  2
4198500 2678500  1  2 23   0.5  992 243  4.6 3  3.6  89    0    0 244 -309  2
4198500 2678500  1  2 24   0.5  991 233  3.6 5  3.6  90    0    0 259 -308  2
4198500 2678500  1  3  1   0.6  992 225  4.6 5  3.6  88    0    0 269 -307  2
4198500 2678500  1  3  2   1.0  991 216  4.6 5  3.5  86    0    0 271 -306  2
4198500 2678500  1  3  3   1.1  991 215  5.3 5  3.5  84    0    0 271 -305  2
4198500 2678500  1  3  4   1.6  991 223  6.2 5  3.6  85    0    0 271 -304  2
4198500 2678500  1  3  5   1.7  991 222  5.7 5  3.7  84    0    0 272 -303  2
4198500 2678500  1  3  6   1.7  990 230  6.3 6  3.7  85    0    0 278 -302  2
4198500 2678500  1  3  7   1.9  990 238  5.1 7  3.7  85    0    0 287 -301  2
4198500 2678500  1  3  8   2.0  990 241  5.7 8  3.8  85    0    0 297 -301  2
4198500 2678500  1  3  9   2.0  990 225  6.9 8  3.8  84    5   13 302 -301  2
4198500 2678500  1  3 10   1.9  990 220  7.1 7  3.7  84   34   62 294 -302  2
4198500 2678500  1  3 11   2.1  990 231  8.0 6  3.7  83    7   77 282 -306  2
4198500 2678500  1  3 12   2.7  990 223  8.6 6  3.7  80    9  108 275 -310  2
4198500 2678500  1  3 13   2.9  989 221  8.4 5  3.7  79   12  120 269 -314  2
4198500 2678500  1  3 14   3.5  989 231  8.6 7  3.8  78    0   59 274 -315  2
4198500 2678500  1  3 15   3.6  988 237  7.0 7  3.9  78    0   38 281 -316  2
4198500 2678500  1  3 16   3.6  987 225  6.9 7  4.0  79    0    9 280 -316  2
4198500 2678500  1  3 17   3.5  987 235  6.9 7  4.1  81    0    0 279 -316  2
4198500 2678500  1  3 18   3.1  987 236  7.7 7  4.1  83    0    0 279 -315  2
4198500 2678500  1  3 19   3.0  986 233  6.7 8  4.1  85    0    0 282 -314  2
4198500 2678500  1  3 20   3.0  986 234  6.7 7  4.1  85    0    0 283 -313  2
4198500 2678500  1  3 21   3.0  986 246  6.0 6  4.1  85    0    0 276 -312  2
4198500 2678500  1  3 22   3.5  986 235  7.7 6  4.2  85    0    0 273 -311  2
4198500 2678500  1  3 23   3.5  986 237  7.0 6  4.2  84    0    0 274 -310  2
4198500 2678500  1  3 24   3.6  986 225  8.9 7  4.2  84    0    0 280 -309  2
4198500 2678500  1  4  1   3.2  985 219  7.2 6  4.2  84    0    0 279 -308  2
4198500 2678500  1  4  2   2.9  985 232  5.9 6  4.1  85    0    0 272 -307  2
4198500 2678500  1  4  3   2.5  984 228  6.9 5  4.0  85    0    0 265 -307  2
4198500 2678500  1  4  4   2.4  984 240  8.4 4  4.0  85    0    0 251 -309  2
4198500 2678500  1  4  5   2.5  983 240  7.9 5  3.9  84    0    0 251 -311  2
