Nominal diameter (DN);Max. pressure gradient (Pa/m);Inner diameter (pipe) (mm);Outer diameter (pipe) (mm);Thickness (pipe) (mm);Roughness (mm);Pipe Cost (€/m);Construction Cost (€/m)
16;300;12.7;16.3;1.8;0.01;0.82;825
20;300;16.1;20.3;2.1;0.01;1.26;825
25;300;20.2;25.2;2.5;0.01;1.9;825
32;300;26;32.2;3.1;0.01;3.1;825
40;300;32.3;40.3;4;0.01;4.8;825
50;300;40.5;50.3;4.9;0.01;7.45;825
63;300;51;63.4;6.2;0.01;11.7;825
75;300;61;75.4;7.2;0.01;16.35;825
90;300;73.1;90.5;8.7;0.01;23.65;825
110;300;89.4;110.6;10.6;0.01;35.15;825
125;300;101.5;125.7;12.1;0.01;45.5;825
140;300;113.9;140.7;13.4;0.01;56.65;825
160;300;130;160.8;15.4;0.01;75.18;825
180;300;146.3;180.9;17.3;0.01;95.02;825
200;300;162.5;200.9;19.2;0.01;117.18;825
225;300;182.9;226.1;21.6;0.01;148.14;825
250;300;203.4;251.2;23.9;0.01;182.73;825
280;300;227.8;281.4;26.8;0.01;229.02;825
315;300;256.3;316.5;30.1;0.01;289.62;825
355;300;288.8;356.6;33.9;0.01;367.58;825
400;300;325.4;401.8;38.2;0.01;466.38;825
450;300;366.1;452.1;43;0.01;589.93;825
500;300;406.8;502.4;47.8;0.01;727.98;825
560;300;455.7;562.5;53.4;0.01;912.78;825
