id;building;year;retrofit;construction_type;night_setback;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV;ec_charging;consumption
0;MFH;1880;2;0;0;980;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;128870.0
1;MFH;2017;2;0;0;1832;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;221189.04566666664
2;MFH;2015;2;0;0;97;EL;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;7933.333333333333
3;MFH;2016;2;0;0;3750;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;77063.90983333334
4;MFH;1974;2;0;0;6805;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;395552.0611000001
5;MFH;2019;2;0;0;3083;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;136616.19616666663
6;MFH;2018;2;0;0;1600;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;73280.0
7;MFH;2023;2;0;0;11904;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;545203.2
8;MFH;2015;2;0;0;1681;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;101245.48306666668
9;MFH;2009;2;0;0;603;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;16286.267666666665
10;MFH;1947;2;0;0;861;0;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;130269.3
11;MFH;2021;2;0;0;2153;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;98607.4
12;MFH;1925;2;0;0;717;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;116972.54033333337
13;MFH;1929;2;0;0;1236;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;66317.8621
14;MFH;1960;2;0;0;2908;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;1756207.6949999998
15;MFH;1985;2;0;0;2005;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;5654.3983333333335
16;MFH;1993;2;0;0;22484;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;2179.11525
17;MFH;1958;2;0;0;2924;DH;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;337722.0
18;MFH;1910;2;0;0;4602;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;366512.0362
19;MFH;1910;2;0;0;1817;BOI;0;0;0;0;35;1;0;0.53;0.04;0;on_demand;330580.4652333333
