Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2373500 Meter
Hoehenlage        : 264 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2373500  1  1  1   6.6  972 193  6.8 8  5.0  79    0    0 329 -334  0
3844500 2373500  1  1  2   6.3  972 200  5.2 8  5.1  81    0    0 330 -334  0
3844500 2373500  1  1  3   5.8  972 198  6.8 7  5.1  83    0    0 320 -334  0
3844500 2373500  1  1  4   4.8  972 217  6.5 8  4.8  83    0    0 317 -333  0
3844500 2373500  1  1  5   4.6  973 244  5.9 8  4.5  82    0    0 323 -332  0
3844500 2373500  1  1  6   4.6  974 205  6.9 7  4.5  81    0    0 313 -331  0
3844500 2373500  1  1  7   4.5  974 202  7.6 7  4.4  80    0    0 303 -330  0
3844500 2373500  1  1  8   4.2  974 200  7.3 7  4.3  79    0    0 302 -329  0
3844500 2373500  1  1  9   4.6  975 192  6.3 7  4.2  78    0    0 302 -329  0
3844500 2373500  1  1 10   5.3  975 191  7.5 7  4.2  75    2   57 304 -328  0
3844500 2373500  1  1 11   5.7  976 206  6.6 6  4.1  71    4   88 296 -329  0
3844500 2373500  1  1 12   6.1  976 196  6.3 5  4.1  68   21  129 279 -331  0
3844500 2373500  1  1 13   6.7  976 202  6.3 4  3.9  64   84  137 269 -332  0
3844500 2373500  1  1 14   7.7  975 199  5.9 4  3.8  58  123  111 268 -334  0
3844500 2373500  1  1 15   7.7  974 174  6.0 5  3.7  55   76   83 277 -333  0
3844500 2373500  1  1 16   7.4  974 180  4.3 5  3.7  55    3   41 284 -330  0
3844500 2373500  1  1 17   7.0  974 153  3.5 7  3.8  58    0    0 296 -325  0
3844500 2373500  1  1 18   6.2  975 150  3.2 7  3.9  62    0    0 309 -319  0
3844500 2373500  1  1 19   5.7  975 136  3.0 7  4.0  67    0    0 307 -316  0
3844500 2373500  1  1 20   5.7  976 134  2.6 7  4.1  70    0    0 308 -315  0
