Koordinatensystem : Lambert konform konisch
Rechtswert        : 3793500 Meter
Hochwert          : 2689500 Meter
Hoehenlage        : 49 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3793500 2689500  1  1  1   3.6 1018 154  2.1 4  4.3  80    0    0 206 -289  0
3793500 2689500  1  1  2   0.4 1018 136  1.7 3  3.4  82    0    0 205 -288  0
3793500 2689500  1  1  3  -1.9 1017 124  1.3 2  2.7  83    0    0 209 -288  0
3793500 2689500  1  1  4  -2.1 1017 123  1.2 2  2.7  82    0    0 206 -288  0
3793500 2689500  1  1  5  -2.1 1016 124  1.1 3  2.7  82    0    0 206 -289  0
3793500 2689500  1  1  6  -1.9 1015 125  0.9 2  2.7  83    0    0 209 -290  0
3793500 2689500  1  1  7  -1.0 1014 125  1.5 4  2.7  81    0    0 219 -292  0
3793500 2689500  1  1  8  -1.4 1013 140  0.7 4  2.7  78    0    0 230 -293  0
3793500 2689500  1  1  9  -1.3 1012 122  1.9 4  2.7  78    0    0 231 -294  0
3793500 2689500  1  1 10  -0.2 1011 124  1.8 8  2.8  77    0   25 252 -295  0
3793500 2689500  1  1 11   0.6 1011 131  1.6 8  2.9  74    0   52 275 -298  0
3793500 2689500  1  1 12   0.8 1010 136  1.6 8  2.9  73    0   66 277 -301  0
3793500 2689500  1  1 13   1.2 1009 132  1.9 8  3.0  73    0   66 278 -304  0
3793500 2689500  1  1 14   1.4 1008 132  2.3 8  3.0  71    0   54 282 -307  0
3793500 2689500  1  1 15   1.6 1007 136  1.8 8  3.0  70    0   38 285 -308  0
3793500 2689500  1  1 16   1.7 1006 133  1.5 8  3.0  69    0   16 288 -309  0
3793500 2689500  1  1 17   1.9 1006 117  1.1 8  3.0  69    0    2 290 -308  0
3793500 2689500  1  1 18   2.0 1005 117  1.8 7  3.0  68    0    0 286 -308  0
3793500 2689500  1  1 19   2.4 1005 118  1.6 7  3.0  67    0    0 280 -307  0
3793500 2689500  1  1 20   2.4 1005 119  2.0 7  3.0  65    0    0 282 -307  0
