Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2373500 Meter
Hoehenlage        : 264 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2373500  1  1  1   6.9  986 196  5.9 7  6.1  91    0    0 344 -354  0
3844500 2373500  1  1  2   9.5  986 212  7.4 8  7.0  89    0    0 343 -355  0
3844500 2373500  1  1  3  11.4  986 203  8.5 8  7.6  88    0    0 350 -356  0
3844500 2373500  1  1  4  11.6  987 211  8.5 8  7.6  87    0    0 357 -358  0
3844500 2373500  1  1  5  11.7  987 218  8.7 8  7.6  86    0    0 358 -359  0
3844500 2373500  1  1  6  11.9  987 229  8.5 7  7.6  86    0    0 351 -360  0
3844500 2373500  1  1  7  12.0  987 227  9.6 8  7.5  84    0    0 352 -361  0
3844500 2373500  1  1  8  12.0  988 211  8.6 8  7.5  83    0    0 361 -362  0
3844500 2373500  1  1  9  12.4  988 211  8.8 8  7.5  83    0    0 362 -363  0
3844500 2373500  1  1 10  12.5  988 213  9.7 8  7.6  82    0   36 363 -363  0
3844500 2373500  1  1 11  12.6  988 208  9.6 8  7.6  81    0   59 362 -364  0
3844500 2373500  1  1 12  12.6  988 207  8.9 8  7.6  81    0   48 362 -366  0
3844500 2373500  1  1 13  12.7  988 210  8.4 8  7.7  82    0   55 363 -367  0
3844500 2373500  1  1 14  12.6  988 203  7.8 8  7.7  82    0   61 363 -368  0
3844500 2373500  1  1 15  12.9  987 217  6.3 7  7.8  82    7   84 353 -368  0
3844500 2373500  1  1 16  12.9  987 216  8.4 5  7.8  82    5   45 329 -369  0
3844500 2373500  1  1 17  12.3  986 226  7.7 4  7.7  83    0    4 303 -368  0
3844500 2373500  1  1 18  12.8  987 217  8.8 5  7.6  81    0    0 301 -366  0
3844500 2373500  1  1 19  13.1  987 217  8.7 6  7.4  77    0    0 318 -365  0
3844500 2373500  1  1 20  13.3  986 210  8.9 8  7.3  75    0    0 341 -364  0
3844500 2373500  1  1 21  13.2  986 208  8.5 8  7.3  74    0    0 356 -362  0
3844500 2373500  1  1 22  13.6  986 210  7.5 7  7.2  73    0    0 346 -361  0
3844500 2373500  1  1 23  13.1  985 225  5.5 8  7.1  73    0    0 345 -359  0
3844500 2373500  1  1 24  11.7  985 217  5.5 6  6.9  75    0    0 332 -359  0
3844500 2373500  1  2  1  13.3  984 208  6.4 5  6.7  72    0    0 308 -358  0
3844500 2373500  1  2  2  14.0  983 210  8.2 8  6.6  65    0    0 327 -359  0
3844500 2373500  1  2  3  13.7  983 224  8.2 8  6.6  65    0    0 351 -358  0
3844500 2373500  1  2  4  13.2  982 218  7.8 8  6.7  67    0    0 349 -357  0
3844500 2373500  1  2  5  13.0  982 220  8.4 8  6.6  68    0    0 348 -357  0
3844500 2373500  1  2  6  12.9  981 217  7.8 6  6.6  68    0    0 331 -357  0
3844500 2373500  1  2  7  12.3  981 214  6.3 7  6.5  69    0    0 319 -357  0
3844500 2373500  1  2  8  11.9  980 210  7.7 7  6.6  72    0    0 323 -356  0
3844500 2373500  1  2  9  11.4  980 206  8.1 8  6.9  78    0    4 332 -356  0
3844500 2373500  1  2 10  11.2  980 207  8.5 8  7.2  83    0   14 343 -355  0
3844500 2373500  1  2 11  10.7  981 203  9.8 8  7.2  85    0   18 341 -355  0
3844500 2373500  1  2 12   9.8  981 228  7.9 8  7.1  89    0   38 337 -355  0
3844500 2373500  1  2 13   9.3  981 220  5.4 8  7.0  91    0   42 335 -355  0
3844500 2373500  1  2 14   9.2  982 223  5.7 8  6.9  92    0   44 335 -354  0
3844500 2373500  1  2 15   8.9  983 228  6.2 8  6.5  87    0   51 332 -351  0
3844500 2373500  1  2 16   8.7  983 221  7.2 8  6.1  84    2   45 330 -347  0
3844500 2373500  1  2 17   8.6  985 216  7.2 7  6.0  83    0    8 321 -344  0
3844500 2373500  1  2 18   7.5  986 218  8.1 7  5.8  85    0    0 313 -341  0
3844500 2373500  1  2 19   7.6  987 224  6.8 7  5.6  84    0    0 310 -339  0
3844500 2373500  1  2 20   7.1  987 224  6.3 7  5.4  82    0    0 309 -338  0
3844500 2373500  1  2 21   7.3  988 204  7.0 8  5.4  83    0    0 314 -338  0
3844500 2373500  1  2 22   6.2  989 198  5.1 7  5.4  86    0    0 313 -338  0
3844500 2373500  1  2 23   6.0  990 194  4.6 5  5.4  90    0    0 297 -337  0
3844500 2373500  1  2 24   6.1  991 205  6.1 6  5.3  89    0    0 290 -335  0
3844500 2373500  1  3  1   6.0  992 193  5.6 7  5.3  88    0    0 297 -333  0
3844500 2373500  1  3  2   5.7  993 198  6.8 7  5.1  87    0    0 299 -332  0
3844500 2373500  1  3  3   5.3  993 214  6.5 6  5.0  87    0    0 290 -331  0
3844500 2373500  1  3  4   5.1  993 216  7.3 3  4.8  85    0    0 270 -328  0
3844500 2373500  1  3  5   4.5  994 219  7.3 0  4.5  83    0    0 242 -325  0
3844500 2373500  1  3  6   4.7  994 216  7.0 1  4.4  82    0    0 233 -323  0
3844500 2373500  1  3  7   4.9  995 198  6.6 3  4.3  79    0    0 249 -322  0
3844500 2373500  1  3  8   4.7  994 201  7.0 3  4.2  78    0    0 257 -323  0
3844500 2373500  1  3  9   4.9  994 202  6.6 3  4.1  75    0    9 258 -323  0
3844500 2373500  1  3 10   6.2  994 204  7.3 4  3.8  66   32   58 266 -324  0
3844500 2373500  1  3 11   7.1  994 210  9.1 4  3.6  58  150   72 275 -328  0
3844500 2373500  1  3 12   8.1  994 205  8.6 3  3.5  53  140  113 275 -333  0
3844500 2373500  1  3 13   8.7  992 217  9.4 5  3.5  50  141  123 283 -337  0
3844500 2373500  1  3 14   9.5  991 207 10.9 5  3.5  48   65  127 296 -339  0
3844500 2373500  1  3 15   9.7  990 204 10.8 5  3.6  47   24   95 299 -342  0
3844500 2373500  1  3 16  10.1  989 207 12.5 5  3.9  50   14   50 302 -344  0
3844500 2373500  1  3 17  10.6  988 209 12.4 5  4.3  54    0    3 305 -344  0
3844500 2373500  1  3 18  10.4  988 218 13.1 7  4.9  60    0    0 316 -344  0
3844500 2373500  1  3 19  10.6  988 213 12.2 8  5.2  65    0    0 333 -345  0
3844500 2373500  1  3 20  11.3  987 213 13.0 8  5.4  64    0    0 340 -346  0
3844500 2373500  1  3 21  11.2  986 214 11.5 8  5.4  63    0    0 341 -347  0
3844500 2373500  1  3 22  11.3  986 227 12.3 6  5.5  64    0    0 328 -348  0
3844500 2373500  1  3 23  11.3  985 218 11.1 8  5.7  66    0    0 328 -348  0
3844500 2373500  1  3 24  11.5  985 231 12.0 8  6.0  69    0    0 341 -349  0
3844500 2373500  1  4  1  11.2  985 205 13.1 7  6.3  73    0    0 334 -349  0
3844500 2373500  1  4  2  11.2  985 200 10.9 7  6.4  76    0    0 327 -350  0
3844500 2373500  1  4  3  10.8  984 207  8.9 8  6.5  78    0    0 333 -349  0
3844500 2373500  1  4  4  10.1  983 211  8.3 8  6.7  83    0    0 337 -348  0
3844500 2373500  1  4  5   7.2  983 245  4.8 7  6.4  89    0    0 324 -347  0
3844500 2373500  1  4  6   6.8  984 256  4.6 6  5.6  87    0    0 305 -346  0
3844500 2373500  1  4  7   6.8  985 251  5.2 7  5.3  83    0    0 301 -343  0
3844500 2373500  1  4  8   6.4  986 241  8.8 8  5.3  85    0    0 310 -337  0
3844500 2373500  1  4  9   6.5  987 216  8.8 7  5.4  88    5   12 310 -330  0
3844500 2373500  1  4 10   5.3  989 224  5.9 6  5.3  89   17   47 298 -327  0
3844500 2373500  1  4 11   6.5  991 226  7.2 7  5.2  88    0   59 297 -329  0
3844500 2373500  1  4 12   6.0  993 249  6.3 8  4.9  81    0   61 306 -332  0
3844500 2373500  1  4 13   6.6  993 243  4.9 8  4.4  73    0   65 308 -335  0
3844500 2373500  1  4 14   6.9  993 245  6.8 8  4.1  65    0   56 307 -338  0
3844500 2373500  1  4 15   7.2  993 238  6.0 8  3.9  61   17   78 304 -338  0
3844500 2373500  1  4 16   6.7  993 233  5.9 3  3.8  60   56   22 275 -337  0
3844500 2373500  1  4 17   5.4  994 214  6.4 2  3.9  65    9    6 238 -334  0
3844500 2373500  1  4 18   5.0  993 207  7.8 2  4.0  71    0    0 234 -331  0
3844500 2373500  1  4 19   5.4  993 202  8.5 6  4.1  73    0    0 258 -329  0
3844500 2373500  1  4 20   5.8  994 210  9.3 8  4.1  71    0    0 294 -329  0
