Koordinatensystem : Lambert konform konisch
Rechtswert        : 2501452 Meter
Hochwert          : 5629397 Meter
Hoehenlage        : 231 Meter ueber NN
Erstellung des Datensatzes im June 2025

Art des TRY       : -
Bezugszeitraum    : 2020-01-01 - 2024-12-31
Datenbasis        : Beobachtungs- und imputierte Daten

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,i3,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i4,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}

     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D    A    E IL
*******************************************************************************
2501452 5629397  1  1  1  -0.9 1005  80  1.7 0  0.0   1    0    0   89 -296  2
2501452 5629397  1  1  2  -1.3 1005  80  2.4 0  0.0   1    0    0  111 -294  2
2501452 5629397  1  1  3  -1.8 1005 110  1.9 0  0.0   1    2    1  110 -292  2
2501452 5629397  1  1  4  -2.2 1004 110  2.0 0  0.0   1    2    1  109 -290  2
2501452 5629397  1  1  5  -2.1 1004 100  2.2 0  0.0   1    2    1  109 -291  2
2501452 5629397  1  1  6  -2.2 1003 110  2.2 0  0.0   1    2    1  107 -290  2
2501452 5629397  1  1  7  -3.0 1003 120  2.0 0  0.0   1    2    1   96 -287  2
2501452 5629397  1  1  8  -2.9 1003 150  1.7 0  0.0   1    0    0   78 -287  2
2501452 5629397  1  1  9  -2.7 1003 120  2.3 0  0.0   1    2    1   83 -288  2
2501452 5629397  1  1 10  -0.2 1004 200  2.1 0  0.0   1   16    9   84 -299  2
2501452 5629397  1  1 11  -0.4 1004 110  1.3 0  0.0   1    2    1   83 -298  2
2501452 5629397  1  1 12   1.7 1004 120  1.3 0  0.0   1    2    1   90 -307  2
2501452 5629397  1  1 13   3.6 1003  90  1.4 0  0.0   1   11    8   91 -316  2
2501452 5629397  1  1 14   4.1 1002  60  1.3 0  0.0   1   36   36   93 -318  2
2501452 5629397  1  1 15   4.1 1002  30  1.7 0  0.0   1   23   23   92 -318  2
2501452 5629397  1  1 16   3.6 1002  10  1.2 0  0.0   1   16    9   90 -316  2
2501452 5629397  1  1 17   2.4 1002  10  0.9 0  0.0   1   16    9   91 -311  2
2501452 5629397  1  1 18   1.7 1002 110  1.9 0  0.0   1    0    0   89 -307  2
2501452 5629397  1  1 19   2.0 1002 210  1.8 0  0.0   1    4    3   91 -309  2
2501452 5629397  1  1 20   1.4 1002 210  1.7 0  0.0   1    5    4   87 -306  2
2501452 5629397  1  1 21   1.0 1002 130  1.5 0  0.0   1    0    0   88 -304  2
2501452 5629397  1  1 22  -0.4 1001 210  1.9 0  0.0   1    5    4   82 -298  2
2501452 5629397  1  1 23  -0.2 1001 220  2.8 0  0.0   1    5    4   82 -299  2
2501452 5629397  1  1 24  -1.9 1001 230  2.6 0  0.0   1    1    1   78 -292  2
2501452 5629397  1  2  1  -3.0 1001 250  2.4 0  0.0   1    0    0   78 -287  2
2501452 5629397  1  2  2  -3.0 1001 260  2.7 0  0.0   1    0    0   78 -287  2
2501452 5629397  1  2  3  -2.7 1000 230  2.0 0  0.0   1    0    0   79 -288  2
2501452 5629397  1  2  4  -2.5 1000 240  1.9 0  0.0   1    1    1   79 -289  2
2501452 5629397  1  2  5  -3.0 1000 220  1.6 0  0.0   1    4    3   78 -287  2
2501452 5629397  1  2  6  -1.2 1000 230  3.4 0  0.0   1    0    0  109 -295  2
2501452 5629397  1  2  7  -0.7 1000 220  4.7 0  0.0   1    4    4  111 -297  2
2501452 5629397  1  2  8  -0.4  999 200  4.2 0  0.0   1   16   12  108 -298  2
2501452 5629397  1  2  9   0.9  999 190  4.6 0  0.0   1   20   14  108 -304  2
2501452 5629397  1  2 10   2.3  999 190  3.7 0  0.0   1   20   13  100 -310  2
2501452 5629397  1  2 11   3.5  999 160  2.9 0  0.0   1    0    0   90 -316  2
2501452 5629397  1  2 12   4.9  998 190  5.1 0  0.0   1    3    2  106 -322  2
2501452 5629397  1  2 13   5.8  998 210  4.2 0  0.0   1    4    4  104 -326  2
2501452 5629397  1  2 14   5.4  997 230  3.8 0  0.0   1   11   11  114 -324  2
2501452 5629397  1  2 15   5.3  996 190  4.8 0  0.0   1    3    2  109 -324  2
2501452 5629397  1  2 16   5.0  996 190  6.2 0  0.0   1    3    2   96 -322  2
2501452 5629397  1  2 17   4.4  996 200  6.0 0  0.0   1    3    3  100 -320  2
2501452 5629397  1  2 18   4.3  996 200  6.6 0  0.0   1    3    2  108 -319  2
2501452 5629397  1  2 19   4.4  995 200  7.1 0  0.0   1    3    3  108 -320  2
2501452 5629397  1  2 20   4.3  995 200  7.2 0  0.0   1    4    4   94 -319  2
2501452 5629397  1  2 21   4.9  995 200  6.7 0  0.0   1    3    2  113 -322  2
2501452 5629397  1  2 22   5.6  994 200  7.1 0  0.0   1    0    0  114 -325  2
2501452 5629397  1  2 23   5.9  994 200  6.9 0  0.0   1    0    0  115 -327  2
2501452 5629397  1  2 24   6.2  994 210  7.6 0  0.0   1    0    0  116 -328  2
2501452 5629397  1  3  1   6.9  993 220  7.8 0  0.1   1    0    0  117 -331  2
