scenario;category;metric;device;year;value;unit
example1;optimization;tac_distr;;;12054;EUR/a
example1;optimization;co2_distr;;;-27;t/a
example1;optimization;tac_per_distr_year;;0;12496;EUR/a
example1;optimization;co2_sum_distr_year;;0;-21;t/a
example1;optimization;tac_per_distr_year;;5;12065;EUR/a
example1;optimization;co2_sum_distr_year;;5;-5;t/a
example1;optimization;tac_per_distr_year;;10;11780;EUR/a
example1;optimization;co2_sum_distr_year;;10;-1;t/a
example1;optimization;tac_per_distr_year;;15;11547;EUR/a
example1;optimization;co2_sum_distr_year;;15;0;t/a
example1;optimization;tac_per_distr_year;;20;11579;EUR/a
example1;optimization;co2_sum_distr_year;;20;0;t/a
example1;cost;total_annual_costs_devices;;;9476;EUR/a
example1;cost;total_connection_costs;;;0;EUR/a
example1;cost;heat_grid_costs;;;1581;EUR/a
example1;cost;heat_grid_costs_base;;;4201;EUR/a
example1;cost;annualized_energy_costs;;;996;EUR/a
example1;cost;annualized_misc_costs;;;0;EUR/a
example1;device;capacity;PV;;28.1;kW
example1;device;capacity;HP;;93.1;kW
example1;device;capacity;BCHP;;3.5;kW
example1;device;capacity;TES;;68.5;kWh
example1;yearly_totals;from_el_grid_total;;0;4;MWh
example1;yearly_totals;from_el_grid_total;;5;3;MWh
example1;yearly_totals;from_el_grid_total;;10;2;MWh
example1;yearly_totals;from_el_grid_total;;15;2;MWh
example1;yearly_totals;from_el_grid_total;;20;7;MWh
example1;yearly_totals;to_el_grid_total;;0;20;MWh
example1;yearly_totals;to_el_grid_total;;5;20;MWh
example1;yearly_totals;to_el_grid_total;;10;20;MWh
example1;yearly_totals;to_el_grid_total;;15;20;MWh
example1;yearly_totals;to_el_grid_total;;20;20;MWh
example1;yearly_totals;from_el_main_grid_total;;0;4;MWh
example1;yearly_totals;from_el_main_grid_total;;5;3;MWh
example1;yearly_totals;from_el_main_grid_total;;10;2;MWh
example1;yearly_totals;from_el_main_grid_total;;15;2;MWh
example1;yearly_totals;from_el_main_grid_total;;20;7;MWh
example1;yearly_totals;to_el_main_grid_total;;0;20;MWh
example1;yearly_totals;to_el_main_grid_total;;5;20;MWh
example1;yearly_totals;to_el_main_grid_total;;10;20;MWh
example1;yearly_totals;to_el_main_grid_total;;15;20;MWh
example1;yearly_totals;to_el_main_grid_total;;20;20;MWh
example1;yearly_totals;from_network_total;;0;0;MWh
example1;yearly_totals;from_network_total;;5;0;MWh
example1;yearly_totals;from_network_total;;10;0;MWh
example1;yearly_totals;from_network_total;;15;0;MWh
example1;yearly_totals;from_network_total;;20;0;MWh
example1;yearly_totals;to_network_total;;0;0;MWh
example1;yearly_totals;to_network_total;;5;0;MWh
example1;yearly_totals;to_network_total;;10;0;MWh
example1;yearly_totals;to_network_total;;15;0;MWh
example1;yearly_totals;to_network_total;;20;0;MWh
example1;yearly_totals;from_gas_grid_total;;0;0;MWh
example1;yearly_totals;from_gas_grid_total;;5;0;MWh
example1;yearly_totals;from_gas_grid_total;;10;0;MWh
example1;yearly_totals;from_gas_grid_total;;15;0;MWh
example1;yearly_totals;from_gas_grid_total;;20;0;MWh
example1;yearly_totals;to_gas_grid_total;;0;0;MWh
example1;yearly_totals;to_gas_grid_total;;5;0;MWh
example1;yearly_totals;to_gas_grid_total;;10;0;MWh
example1;yearly_totals;to_gas_grid_total;;15;0;MWh
example1;yearly_totals;to_gas_grid_total;;20;0;MWh
