Support_Year;Cluster;Timestep;Heat_Demand_kW
0;0;0;5.819
0;0;1;5.879
0;0;2;6.249
0;0;3;6.594
0;0;4;7.058
0;0;5;7.522
0;0;6;7.99
0;0;7;10.82
0;0;8;9.187
0;0;9;9.153
0;0;10;9.958
0;0;11;9.425
0;0;12;9.147
0;0;13;8.835
0;0;14;8.879
0;0;15;8.62
0;0;16;9.769
0;0;17;7.61
0;0;18;8.537
0;0;19;8.185
0;0;20;8.683
0;0;21;9.207
0;0;22;8.03
0;0;23;7.182
0;0;24;8.671
0;0;25;8.319
0;0;26;8.359
0;0;27;8.373
0;0;28;8.357
0;0;29;8.308
0;0;30;9.159
0;0;31;9.05
0;0;32;9.33
0;0;33;8.43
0;0;34;8.394
0;0;35;9.451
0;0;36;8.445
0;0;37;7.792
0;0;38;7.606
0;0;39;7.493
0;0;40;7.395
0;0;41;7.096
0;0;42;9.415
0;0;43;7.918
0;0;44;6.54
0;0;45;7.087
0;0;46;7.275
0;0;47;7.222
0;0;48;7.938
0;0;49;7.541
0;0;50;7.563
0;0;51;8.176
0;0;52;7.726
0;0;53;8.206
0;0;54;7.594
0;0;55;7.588
0;0;56;10.06
0;0;57;7.279
0;0;58;7.635
0;0;59;7.118
0;0;60;7.554
0;0;61;6.208
0;0;62;5.467
0;0;63;5.985
0;0;64;6.238
0;0;65;5.526
0;0;66;5.002
0;0;67;6.063
0;0;68;6.238
0;0;69;6.517
0;0;70;6.319
0;0;71;5.558
0;0;72;6.276
0;0;73;6.461
0;0;74;6.678
0;0;75;6.887
0;0;76;7.1
0;0;77;7.315
0;0;78;7.549
0;0;79;10.454
0;0;80;9.396
0;0;81;7.216
0;0;82;7.372
0;0;83;7.775
0;0;84;7.118
0;0;85;7.235
0;0;86;7.699
0;0;87;7.779
0;0;88;5.671
0;0;89;6.276
0;0;90;6.311
0;0;91;6.452
0;0;92;7.086
0;0;93;7.577
0;0;94;7.448
0;0;95;6.639
0;0;96;7.08
0;0;97;6.839
0;0;98;6.844
0;0;99;6.837
0;0;100;6.819
0;0;101;6.807
0;0;102;8.292
0;0;103;8.566
0;0;104;7.506
0;0;105;5.902
0;0;106;7.698
0;0;107;6.32
0;0;108;6.926
0;0;109;5.523
0;0;110;6.259
0;0;111;5.808
0;0;112;5.757
0;0;113;5.994
0;0;114;5.702
0;0;115;6.456
0;0;116;7.162
0;0;117;6.043
0;0;118;5.477
0;0;119;5.939
0;0;120;5.843
0;0;121;5.792
0;0;122;6.086
0;0;123;5.98
0;0;124;5.486
0;0;125;5.719
0;0;126;6.242
0;0;127;5.283
0;0;128;5.632
0;0;129;5.235
0;0;130;6.222
0;0;131;4.927
0;0;132;5.403
0;0;133;4.95
0;0;134;4.269
0;0;135;4.787
0;0;136;5.323
0;0;137;5.063
0;0;138;5.926
0;0;139;5.006
0;0;140;4.704
0;0;141;5.51
0;0;142;4.941
0;0;143;5.433
0;0;144;5.52
0;0;145;5.579
0;0;146;5.672
0;0;147;5.734
0;0;148;5.803
0;0;149;6.388
0;0;150;7.581
0;0;151;9.527
0;0;152;6.406
0;0;153;6.643
0;0;154;6.695
0;0;155;6.584
0;0;156;6.183
0;0;157;6.762
0;0;158;5.59
0;0;159;5.325
0;0;160;4.6
0;0;161;4.622
0;0;162;5.356
0;0;163;6.181
0;0;164;8.519
0;0;165;7.448
0;0;166;6.055
0;0;167;6.527
0;1;0;6.383
0;1;1;6.507
0;1;2;6.67
0;1;3;6.804
0;1;4;6.917
0;1;5;7.037
0;1;6;8.89
0;1;7;8.445
0;1;8;7.837
0;1;9;7.607
0;1;10;8.2
0;1;11;8.139
0;1;12;7.557
0;1;13;7.858
0;1;14;7.017
0;1;15;6.198
0;1;16;6.495
0;1;17;6.102
0;1;18;6.16
0;1;19;8.395
0;1;20;6.561
0;1;21;5.839
0;1;22;6.811
0;1;23;6.968
0;1;24;7.054
0;1;25;7.068
0;1;26;7.18
0;1;27;7.199
0;1;28;7.597
0;1;29;7.315
0;1;30;9.592
0;1;31;8.187
0;1;32;8.727
0;1;33;7.401
0;1;34;7.566
0;1;35;6.922
0;1;36;7.144
0;1;37;9.271
0;1;38;6.954
0;1;39;7.05
0;1;40;6.656
0;1;41;5.351
0;1;42;7.159
0;1;43;6.594
0;1;44;7.858
0;1;45;5.327
0;1;46;6.263
0;1;47;5.57
0;1;48;6.374
0;1;49;6.485
0;1;50;6.586
0;1;51;6.702
0;1;52;7.236
0;1;53;6.867
0;1;54;6.975
0;1;55;7.895
0;1;56;9.852
0;1;57;7.39
0;1;58;8.322
0;1;59;7.768
0;1;60;7.411
0;1;61;7.331
0;1;62;7.401
0;1;63;7.97
0;1;64;7.783
0;1;65;7.218
0;1;66;7.272
0;1;67;6.848
0;1;68;7.376
0;1;69;8.107
0;1;70;7.633
0;1;71;6.905
0;1;72;7.314
0;1;73;7.513
0;1;74;7.648
0;1;75;7.746
0;1;76;7.96
0;1;77;8.195
0;1;78;8.383
0;1;79;10.227
0;1;80;10.398
0;1;81;9.017
0;1;82;8.429
0;1;83;8.222
0;1;84;8.179
0;1;85;8.46
0;1;86;7.207
0;1;87;8.112
0;1;88;7.34
0;1;89;6.294
0;1;90;7.046
0;1;91;6.953
0;1;92;6.564
0;1;93;7.624
0;1;94;8.428
0;1;95;7.179
0;1;96;7.97
0;1;97;8.187
0;1;98;8.303
0;1;99;8.505
0;1;100;8.696
0;1;101;8.789
0;1;102;10.539
0;1;103;10.304
0;1;104;9.068
0;1;105;9.149
0;1;106;8.932
0;1;107;8.941
0;1;108;9.96
0;1;109;9.426
0;1;110;8.41
0;1;111;8.82
0;1;112;7.765
0;1;113;8.157
0;1;114;8.547
0;1;115;8.989
0;1;116;9.912
0;1;117;7.906
0;1;118;8.522
0;1;119;9.301
0;1;120;9.02
0;1;121;9.276
0;1;122;9.53
0;1;123;9.718
0;1;124;9.906
0;1;125;10.071
0;1;126;11.499
0;1;127;11.283
0;1;128;11.097
0;1;129;10.266
0;1;130;10.282
0;1;131;10.997
0;1;132;9.682
0;1;133;9.72
0;1;134;8.92
0;1;135;9.221
0;1;136;10.321
0;1;137;8.717
0;1;138;9.259
0;1;139;11.776
0;1;140;11.013
0;1;141;11.044
0;1;142;8.82
0;1;143;9.323
0;1;144;9.416
0;1;145;9.5
0;1;146;9.558
0;1;147;9.631
0;1;148;9.675
0;1;149;9.729
0;1;150;9.814
0;1;151;9.858
0;1;152;9.896
0;1;153;10.522
0;1;154;10.037
0;1;155;10.15
0;1;156;10.394
0;1;157;10.43
0;1;158;9.843
0;1;159;10.953
0;1;160;9.755
0;1;161;10.026
0;1;162;10.379
0;1;163;8.954
0;1;164;9.544
0;1;165;9.964
0;1;166;10.062
0;1;167;9.576
0;2;0;0.774
0;2;1;0.781
0;2;2;0.784
0;2;3;0.786
0;2;4;0.803
0;2;5;1.066
0;2;6;1.299
0;2;7;1.287
0;2;8;0.763
0;2;9;0.763
0;2;10;0.763
0;2;11;1.324
0;2;12;1.626
0;2;13;1.281
0;2;14;0.986
0;2;15;0.763
0;2;16;0.763
0;2;17;1.065
0;2;18;0.977
0;2;19;1.364
0;2;20;0.931
0;2;21;1.151
0;2;22;0.764
0;2;23;0.764
0;2;24;0.764
0;2;25;0.764
0;2;26;0.764
0;2;27;0.764
0;2;28;0.764
0;2;29;0.764
0;2;30;1.067
0;2;31;1.475
0;2;32;0.975
0;2;33;0.764
0;2;34;0.764
0;2;35;0.988
0;2;36;0.975
0;2;37;0.913
0;2;38;0.765
0;2;39;1.008
0;2;40;0.765
0;2;41;0.765
0;2;42;0.765
0;2;43;1.127
0;2;44;0.992
0;2;45;1.279
0;2;46;0.765
0;2;47;0.989
0;2;48;0.765
0;2;49;0.765
0;2;50;0.937
0;2;51;0.765
0;2;52;0.766
0;2;53;0.766
0;2;54;0.766
0;2;55;1.033
0;2;56;2.156
0;2;57;1.004
0;2;58;1.014
0;2;59;0.766
0;2;60;1.09
0;2;61;1.341
0;2;62;1.447
0;2;63;1.014
0;2;64;1.605
0;2;65;0.766
0;2;66;0.767
0;2;67;0.767
0;2;68;1.467
0;2;69;1.265
0;2;70;1.014
0;2;71;0.767
0;2;72;0.767
0;2;73;0.767
0;2;74;0.767
0;2;75;0.767
0;2;76;0.963
0;2;77;0.767
0;2;78;0.767
0;2;79;1.914
0;2;80;1.997
0;2;81;0.768
0;2;82;0.976
0;2;83;1.063
0;2;84;1.013
0;2;85;1.089
0;2;86;0.768
0;2;87;1.056
0;2;88;1.567
0;2;89;0.768
0;2;90;0.768
0;2;91;0.768
0;2;92;0.768
0;2;93;1.063
0;2;94;0.931
0;2;95;0.769
0;2;96;0.769
0;2;97;0.769
0;2;98;0.769
0;2;99;0.769
0;2;100;0.995
0;2;101;0.769
0;2;102;1.298
0;2;103;1.115
0;2;104;1.474
0;2;105;0.769
0;2;106;1.325
0;2;107;0.77
0;2;108;1.169
0;2;109;0.77
0;2;110;0.77
0;2;111;0.77
0;2;112;1.116
0;2;113;0.77
0;2;114;1.286
0;2;115;0.77
0;2;116;1.242
0;2;117;1.928
0;2;118;0.77
0;2;119;0.77
0;2;120;0.771
0;2;121;0.771
0;2;122;0.961
0;2;123;0.771
0;2;124;0.771
0;2;125;0.771
0;2;126;1.378
0;2;127;1.732
0;2;128;0.771
0;2;129;1.015
0;2;130;0.771
0;2;131;0.771
0;2;132;2.223
0;2;133;0.772
0;2;134;0.772
0;2;135;1.146
0;2;136;1.086
0;2;137;0.772
0;2;138;0.982
0;2;139;0.772
0;2;140;1.036
0;2;141;0.989
0;2;142;0.772
0;2;143;0.772
0;2;144;1.03
0;2;145;0.773
0;2;146;0.773
0;2;147;0.773
0;2;148;0.773
0;2;149;0.773
0;2;150;1.986
0;2;151;1.631
0;2;152;1.145
0;2;153;1.426
0;2;154;0.773
0;2;155;1.008
0;2;156;1.373
0;2;157;0.774
0;2;158;0.774
0;2;159;1.115
0;2;160;1.082
0;2;161;0.948
0;2;162;1.052
0;2;163;1.009
0;2;164;0.774
0;2;165;1.3
0;2;166;0.774
0;2;167;0.774
0;3;0;4.583
0;3;1;4.569
0;3;2;4.78
0;3;3;4.984
0;3;4;5.176
0;3;5;5.351
0;3;6;6.088
0;3;7;5.942
0;3;8;5.055
0;3;9;4.927
0;3;10;4.654
0;3;11;4.145
0;3;12;2.864
0;3;13;2.218
0;3;14;1.764
0;3;15;1.482
0;3;16;1.364
0;3;17;1.749
0;3;18;1.631
0;3;19;1.459
0;3;20;1.725
0;3;21;2.503
0;3;22;2.255
0;3;23;2.603
0;3;24;3.084
0;3;25;2.802
0;3;26;3.737
0;3;27;4.038
0;3;28;4.321
0;3;29;4.631
0;3;30;5.371
0;3;31;5.585
0;3;32;5.22
0;3;33;3.928
0;3;34;3.677
0;3;35;3.311
0;3;36;2.043
0;3;37;1.214
0;3;38;1.112
0;3;39;1.083
0;3;40;0.815
