scenario;category;metric;device;year;value;unit
example3;optimization;tac_distr;;;20272;EUR/a
example3;optimization;co2_distr;;;2;t/a
example3;optimization;tac_per_distr_year;;0;20272;EUR/a
example3;optimization;co2_sum_distr_year;;0;2;t/a
example3;optimization;LCOE_year;;0;123.40598196983329;EUR/MWh
example3;cost;co2_tax_total;;;0;EUR/a
example3;cost;total_inv_cost;;;122495;EUR/a
example3;cost;total_inv_cost_unsubsidized;;;143100;EUR/a
example3;cost;total_ann_inv_cost;;;10495;EUR/a
example3;cost;total_ann_inv_cost_unsubsidized;;;12015;EUR/a
example3;cost;total_om_cost;;;2604;EUR/a
example3;cost;supply_costs_el;;;7172;EUR/a
example3;cost;cap_costs_el;;;0;EUR/a
example3;cost;total_el_costs;;;7172;EUR/a
example3;cost;rev_feed_in_el;;;0;EUR/a
example3;cost;supply_costs_gas;;;0;EUR/a
example3;cost;cap_costs_gas;;;0;EUR/a
example3;cost;total_gas_costs;;;0;EUR/a
example3;cost;rev_feed_in_gas;;;0;EUR/a
example3;cost;supply_costs_biom;;;7072;EUR/a
example3;cost;supply_costs_waste;;;0;EUR/a
example3;cost;supply_costs_hydrogen;;;0;EUR/a
example3;co2;co2_onsite_emissions;;;2;t/a
example3;co2;co2_credit_feedin;;;0;t/a
example3;co2;total_co2_el;;;0;t/a
example3;co2;total_co2_el_feed_in;;;0;t/a
example3;co2;total_co2_gas;;;0;t/a
example3;co2;total_co2_gas_feed_in;;;0;t/a
example3;co2;total_co2_biom;;;0;t/a
example3;co2;total_co2_waste;;;0;t/a
example3;co2;total_co2_hydrogen;;;0;t/a
example3;grid;from_el_grid_total;;;15;MWh
example3;grid;to_el_grid_total;;;11;MWh
example3;grid;from_el_main_grid_total;;;0;MWh
example3;grid;to_el_main_grid_total;;;0;MWh
example3;grid;from_network_total;;;14;MWh
example3;grid;to_network_total;;;11;MWh
example3;grid;from_gas_grid_total;;;0;MWh
example3;grid;to_gas_grid_total;;;0;MWh
example3;grid;biom_import_total;;;121;MWh
example3;grid;waste_import_total;;;0;MWh
example3;grid;hydrogen_import_total;;;0;MWh
example3;grid;max_el_from_grid;;;20;kW
example3;grid;max_el_to_grid;;;10;kW
example3;grid;max_el_from_main_grid;;;20;kW
example3;grid;max_el_to_main_grid;;;0;kW
example3;grid;max_el_from_network;;;8;kW
example3;grid;max_el_to_network;;;10;kW
example3;grid;max_gas_from_grid;;;0;kW
example3;grid;max_gas_to_grid;;;0;kW
example3;grid;max_biom;;;30;
example3;grid;max_waste;;;0;
example3;grid;max_hydrogen;;;0;
example3;area;PV;PV;;0;qm
example3;area;STC;STC;;0;qm
example3;storage_volume;vol_liter;TES;;1817.2;l
example3;storage_volume;vol_liter;CTES;;0;l
example3;device;capacity;HP;;57.0;kW
example3;device_cost;inv;HP;;0.0;EUR
example3;device_cost;ann_inv;HP;;0.0;EUR/a
example3;device_cost;ann_inv_unsubsidized;HP;;5694.72;EUR/a
example3;device_cost;om_cost;HP;;2088.06;EUR/a
example3;device;capacity;BCHP;;10.8;kW
example3;device_cost;inv;BCHP;;12352.81;EUR
example3;device_cost;ann_inv;BCHP;;1235.28;EUR/a
example3;device_cost;ann_inv_unsubsidized;BCHP;;1235.28;EUR/a
example3;device_cost;om_cost;BCHP;;370.58;EUR/a
example3;device;capacity;TES;;63.3;kWh
example3;device_cost;inv;TES;;88.28;EUR
example3;device_cost;ann_inv;TES;;8.83;EUR/a
example3;device_cost;ann_inv_unsubsidized;TES;;99.95;EUR/a
example3;device_cost;om_cost;TES;;12.99;EUR/a
example3;peak;peak_heat_uncl;;;54.47659962179842;kW
example3;peak;peak_power_uncl;;;18.69755299939618;kW
example3;peak;peak_heat_cl;;;38.72432813297832;kW
example3;peak;peak_power_cl;;;14.79392800717097;kW
example3;heat_profile_energy_by_year;heat_profile_energy_kwh;STC;0;0.0;kWh
