Support_Year;Cluster;Timestep;Power_Demand_kW
0;0;0;197.838
0;0;1;196.743
0;0;2;198.152
0;0;3;199.458
0;0;4;197.404
0;0;5;195.763
0;0;6;206.094
0;0;7;634.886
0;0;8;625.881
0;0;9;499.135
0;0;10;513.309
0;0;11;495.754
0;0;12;471.79
0;0;13;483.534
0;0;14;542.033
0;0;15;487.8
0;0;16;477.122
0;0;17;580.345
0;0;18;596.816
0;0;19;607.664
0;0;20;473.465
0;0;21;269.608
0;0;22;251.196
0;0;23;246.261
0;0;24;196.036
0;0;25;200.641
0;0;26;200.845
0;0;27;197.094
0;0;28;197.719
0;0;29;198.878
0;0;30;203.081
0;0;31;633.104
0;0;32;627.733
0;0;33;490.545
0;0;34;508.915
0;0;35;501.759
0;0;36;466.374
0;0;37;491.415
0;0;38;499.515
0;0;39;481.174
0;0;40;463.522
0;0;41;520.719
0;0;42;587.635
0;0;43;621.284
0;0;44;464.449
0;0;45;268.221
0;0;46;249.074
0;0;47;239.471
0;0;48;195.475
0;0;49;200.147
0;0;50;196.603
0;0;51;193.366
0;0;52;196.027
0;0;53;200.012
0;0;54;205.188
0;0;55;572.369
0;0;56;572.601
0;0;57;446.943
0;0;58;441.279
0;0;59;427.899
0;0;60;430.801
0;0;61;468.527
0;0;62;512.473
0;0;63;426.945
0;0;64;420.406
0;0;65;527.376
0;0;66;606.976
0;0;67;610.223
0;0;68;463.307
0;0;69;268.039
0;0;70;249.713
0;0;71;232.604
0;0;72;186.087
0;0;73;189.819
0;0;74;186.613
0;0;75;186.289
0;0;76;185.541
0;0;77;187.074
0;0;78;193.863
0;0;79;211.632
0;0;80;223.394
0;0;81;218.07
0;0;82;212.378
0;0;83;191.652
0;0;84;187.524
0;0;85;189.702
0;0;86;195.436
0;0;87;182.753
0;0;88;176.833
0;0;89;190.518
0;0;90;244.417
0;0;91;279.314
0;0;92;275.067
0;0;93;249.118
0;0;94;244.45
0;0;95;220.105
0;0;96;184.729
0;0;97;196.067
0;0;98;187.428
0;0;99;188.517
0;0;100;186.113
0;0;101;183.837
0;0;102;192.546
0;0;103;589.182
0;0;104;600.903
0;0;105;452.764
0;0;106;486.498
0;0;107;478.22
0;0;108;469.891
0;0;109;490.076
0;0;110;478.543
0;0;111;454.065
0;0;112;567.141
0;0;113;580.056
0;0;114;570.951
0;0;115;582.634
0;0;116;438.67
0;0;117;261.071
0;0;118;242.071
0;0;119;222.246
0;0;120;184.815
0;0;121;186.161
0;0;122;185.524
0;0;123;188.179
0;0;124;186.16
0;0;125;191.107
0;0;126;191.657
0;0;127;589.107
0;0;128;598.871
0;0;129;458.047
0;0;130;473.222
0;0;131;477.258
0;0;132;503.561
0;0;133;455.387
0;0;134;481.037
0;0;135;449.936
0;0;136;428.912
0;0;137;412.994
0;0;138;550.055
0;0;139;576.515
0;0;140;431.254
0;0;141;255.107
0;0;142;244.21
0;0;143;220.984
0;0;144;183.347
0;0;145;184.541
0;0;146;185.26
0;0;147;186.472
0;0;148;185.954
0;0;149;188.579
0;0;150;192.419
0;0;151;605.413
0;0;152;512.585
0;0;153;459.257
0;0;154;459.779
0;0;155;468.187
0;0;156;438.477
0;0;157;454.588
0;0;158;500.631
0;0;159;450.051
0;0;160;437.18
0;0;161;416.731
0;0;162;545.282
0;0;163;577.414
0;0;164;435.028
0;0;165;252.667
0;0;166;232.192
0;0;167;222.227
0;1;0;185.923
0;1;1;190.019
0;1;2;190.005
0;1;3;189.826
0;1;4;188.647
0;1;5;193.005
0;1;6;201.011
0;1;7;402.883
0;1;8;442.481
0;1;9;463.481
0;1;10;486.28
0;1;11;471.503
0;1;12;459.136
0;1;13;469.697
0;1;14;487.668
0;1;15;457.824
0;1;16;438.229
0;1;17;420.051
0;1;18;398.558
0;1;19;588.978
0;1;20;446.816
0;1;21;253.774
0;1;22;241.713
0;1;23;226.877
0;1;24;189.311
0;1;25;189.8
0;1;26;188.576
0;1;27;188.813
0;1;28;190.004
0;1;29;197.108
0;1;30;201.165
0;1;31;421.867
0;1;32;450.637
0;1;33;451.283
0;1;34;478.932
0;1;35;472.025
0;1;36;453.862
0;1;37;447.64
0;1;38;489.967
0;1;39;450.849
0;1;40;444.848
0;1;41;396.387
0;1;42;385.319
0;1;43;566.966
0;1;44;431.667
0;1;45;262.842
0;1;46;241.574
0;1;47;224.95
0;1;48;186.743
0;1;49;189.523
0;1;50;187.535
0;1;51;188.595
0;1;52;186.879
0;1;53;187.372
