scenario;category;metric;device;year;value;unit
ghd6;optimization;tac_distr;;;616108;EUR/a
ghd6;optimization;co2_distr;;;9146;t/a
ghd6;optimization;tac_per_distr_year;;0;708322;EUR/a
ghd6;optimization;co2_sum_distr_year;;0;6072;t/a
ghd6;optimization;tac_per_distr_year;;5;614329;EUR/a
ghd6;optimization;co2_sum_distr_year;;5;1806;t/a
ghd6;optimization;tac_per_distr_year;;10;567554;EUR/a
ghd6;optimization;co2_sum_distr_year;;10;825;t/a
ghd6;optimization;tac_per_distr_year;;15;509489;EUR/a
ghd6;optimization;co2_sum_distr_year;;15;442;t/a
ghd6;optimization;tac_per_distr_year;;20;498788;EUR/a
ghd6;optimization;co2_sum_distr_year;;20;0;t/a
ghd6;cost;total_annual_costs_devices;;;90740;EUR/a
ghd6;cost;total_connection_costs;;;0;EUR/a
ghd6;cost;heat_grid_costs;;;28885;EUR/a
ghd6;cost;heat_grid_costs_base;;;69944;EUR/a
ghd6;cost;annualized_energy_costs;;;496482;EUR/a
ghd6;cost;annualized_misc_costs;;;0;EUR/a
ghd6;device;capacity;HP;;1113.9;kW
ghd6;device;capacity;EB;;277.4;kW
ghd6;device;capacity;BBOI;;985.3;kW
ghd6;device;capacity;TES;;7480.9;kWh
ghd6;yearly_totals;from_el_grid_total;;0;3702;MWh
ghd6;yearly_totals;from_el_grid_total;;5;3508;MWh
ghd6;yearly_totals;from_el_grid_total;;10;3367;MWh
ghd6;yearly_totals;from_el_grid_total;;15;3276;MWh
ghd6;yearly_totals;from_el_grid_total;;20;3186;MWh
ghd6;yearly_totals;to_el_grid_total;;0;0;MWh
ghd6;yearly_totals;to_el_grid_total;;5;0;MWh
ghd6;yearly_totals;to_el_grid_total;;10;0;MWh
ghd6;yearly_totals;to_el_grid_total;;15;0;MWh
ghd6;yearly_totals;to_el_grid_total;;20;0;MWh
ghd6;yearly_totals;from_el_main_grid_total;;0;3702;MWh
ghd6;yearly_totals;from_el_main_grid_total;;5;3508;MWh
ghd6;yearly_totals;from_el_main_grid_total;;10;3367;MWh
ghd6;yearly_totals;from_el_main_grid_total;;15;3276;MWh
ghd6;yearly_totals;from_el_main_grid_total;;20;3186;MWh
ghd6;yearly_totals;to_el_main_grid_total;;0;0;MWh
ghd6;yearly_totals;to_el_main_grid_total;;5;0;MWh
ghd6;yearly_totals;to_el_main_grid_total;;10;0;MWh
ghd6;yearly_totals;to_el_main_grid_total;;15;0;MWh
ghd6;yearly_totals;to_el_main_grid_total;;20;0;MWh
ghd6;yearly_totals;from_network_total;;0;0;MWh
ghd6;yearly_totals;from_network_total;;5;0;MWh
ghd6;yearly_totals;from_network_total;;10;0;MWh
ghd6;yearly_totals;from_network_total;;15;0;MWh
ghd6;yearly_totals;from_network_total;;20;0;MWh
ghd6;yearly_totals;to_network_total;;0;0;MWh
ghd6;yearly_totals;to_network_total;;5;0;MWh
ghd6;yearly_totals;to_network_total;;10;0;MWh
ghd6;yearly_totals;to_network_total;;15;0;MWh
ghd6;yearly_totals;to_network_total;;20;0;MWh
ghd6;yearly_totals;from_gas_grid_total;;0;0;MWh
ghd6;yearly_totals;from_gas_grid_total;;5;0;MWh
ghd6;yearly_totals;from_gas_grid_total;;10;0;MWh
ghd6;yearly_totals;from_gas_grid_total;;15;0;MWh
ghd6;yearly_totals;from_gas_grid_total;;20;0;MWh
ghd6;yearly_totals;to_gas_grid_total;;0;0;MWh
ghd6;yearly_totals;to_gas_grid_total;;5;0;MWh
ghd6;yearly_totals;to_gas_grid_total;;10;0;MWh
ghd6;yearly_totals;to_gas_grid_total;;15;0;MWh
ghd6;yearly_totals;to_gas_grid_total;;20;0;MWh
