Support_Year;Cluster;Timestep;Heat_Demand_kW;Heat_Demand_TES_kW
0;0;0;334.684;-334.684
0;0;1;341.859;36.949
0;0;2;361.713;-361.713
0;0;3;369.27;0.0
0;0;4;378.798;0.0
0;0;5;386.284;0.0
0;0;6;435.067;0.0
0;0;7;428.254;0.0
0;0;8;395.268;0.0
0;0;9;379.69;0.0
0;0;10;362.747;76.9
0;0;11;335.813;-76.131
0;0;12;325.353;0.0
0;0;13;282.745;220.676
0;0;14;278.998;-218.469
0;0;15;280.525;12.039
0;0;16;265.95;-11.919
0;0;17;254.333;109.583
0;0;18;295.036;208.384
0;0;19;313.702;-313.702
0;0;20;317.357;168.509
0;0;21;315.883;187.538
0;0;22;304.19;199.23
0;0;23;319.981;183.44
0;0;24;349.589;-349.589
0;0;25;367.408;-367.408
0;0;26;379.029;0.0
0;0;27;387.819;115.602
0;0;28;400.261;103.16
0;0;29;416.624;86.796
0;0;30;472.581;-299.204
0;0;31;469.234;0.0
0;0;32;430.271;0.0
0;0;33;413.706;0.0
0;0;34;391.357;89.765
0;0;35;355.876;147.545
0;0;36;352.748;13.039
0;0;37;317.136;186.285
0;0;38;297.791;205.63
0;0;39;280.83;222.591
0;0;40;253.868;209.009
0;0;41;256.964;246.457
0;0;42;298.401;205.02
0;0;43;301.638;201.782
0;0;44;312.87;190.551
0;0;45;332.301;-235.053
0;0;46;310.301;193.119
0;0;47;334.569;-334.569
0;0;48;237.49;-237.49
0;0;49;256.883;-256.883
0;0;50;276.294;-276.294
0;0;51;291.144;-291.144
0;0;52;304.219;-304.219
0;0;53;313.592;0.0
0;0;54;325.565;0.0
0;0;55;403.982;0.0
0;0;56;394.526;0.0
0;0;57;337.349;0.0
0;0;58;322.842;0.0
0;0;59;281.767;221.654
0;0;60;265.79;237.63
0;0;61;269.178;-170.489
0;0;62;279.188;-279.188
0;0;63;288.553;214.868
0;0;64;238.079;265.342
0;0;65;192.715;-192.715
0;0;66;198.951;-198.951
0;0;67;192.348;311.073
0;0;68;184.245;319.175
0;0;69;182.416;321.005
0;0;70;191.934;311.487
0;0;71;199.356;304.064
0;0;72;248.184;-248.184
0;0;73;269.106;-269.106
0;0;74;286.958;-286.958
0;0;75;297.168;-297.168
0;0;76;310.274;-129.157
0;0;77;324.186;-324.186
0;0;78;338.18;0.0
