Support_Year;Cluster;Timestep;Power_Demand_kW
0;0;0;16.917
0;0;1;20.252
0;0;2;20.233
0;0;3;21.322
0;0;4;18.806
0;0;5;20.756
0;0;6;25.416
0;0;7;61.582
0;0;8;58.982
0;0;9;52.5
0;0;10;48.088
0;0;11;43.522
0;0;12;49.385
0;0;13;52.0
0;0;14;60.819
0;0;15;50.338
0;0;16;51.659
0;0;17;70.634
0;0;18;73.924
0;0;19;73.206
0;0;20;83.508
0;0;21;63.241
0;0;22;51.868
0;0;23;44.369
0;0;24;16.85
0;0;25;18.334
0;0;26;19.988
0;0;27;19.67
0;0;28;18.562
0;0;29;20.173
0;0;30;23.287
0;0;31;61.958
0;0;32;65.764
0;0;33;52.36
0;0;34;52.567
0;0;35;47.295
0;0;36;42.366
0;0;37;51.243
0;0;38;51.218
0;0;39;53.353
0;0;40;57.102
0;0;41;57.079
0;0;42;61.974
0;0;43;74.16
0;0;44;71.647
0;0;45;58.305
0;0;46;65.383
0;0;47;46.733
0;0;48;17.282
0;0;49;19.915
0;0;50;19.197
0;0;51;18.749
0;0;52;19.09
0;0;53;20.694
0;0;54;23.065
0;0;55;60.294
0;0;56;63.73
0;0;57;51.505
0;0;58;48.399
0;0;59;41.674
0;0;60;41.584
0;0;61;47.117
0;0;62;49.054
0;0;63;47.918
0;0;64;57.25
0;0;65;70.428
0;0;66;84.017
0;0;67;88.679
0;0;68;71.117
0;0;69;77.293
0;0;70;57.741
0;0;71;43.434
0;0;72;16.68
0;0;73;18.497
0;0;74;18.753
0;0;75;19.291
0;0;76;18.646
0;0;77;19.385
0;0;78;21.275
0;0;79;23.975
0;0;80;38.687
0;0;81;35.583
0;0;82;40.063
0;0;83;40.237
0;0;84;46.263
0;0;85;36.957
0;0;86;41.332
0;0;87;30.673
0;0;88;33.745
0;0;89;38.165
0;0;90;53.996
0;0;91;66.306
0;0;92;86.208
0;0;93;67.065
0;0;94;67.394
0;0;95;47.262
0;0;96;16.928
0;0;97;23.989
0;0;98;17.948
0;0;99;18.371
0;0;100;19.023
0;0;101;19.237
0;0;102;20.112
0;0;103;57.712
0;0;104;67.911
0;0;105;47.477
0;0;106;54.912
0;0;107;64.118
0;0;108;53.382
0;0;109;50.888
0;0;110;53.597
0;0;111;49.389
0;0;112;69.74
0;0;113;72.969
