scenario;category;metric;device;year;value;unit
residential2;optimization;tac_distr;;;401230;EUR/a
residential2;optimization;co2_distr;;;3656;t/a
residential2;optimization;tac_per_distr_year;;0;425534;EUR/a
residential2;optimization;co2_sum_distr_year;;0;342;t/a
residential2;optimization;tac_per_distr_year;;5;398996;EUR/a
residential2;optimization;co2_sum_distr_year;;5;1034;t/a
residential2;optimization;tac_per_distr_year;;10;384694;EUR/a
residential2;optimization;co2_sum_distr_year;;10;1147;t/a
residential2;optimization;tac_per_distr_year;;15;373221;EUR/a
residential2;optimization;co2_sum_distr_year;;15;1131;t/a
residential2;optimization;tac_per_distr_year;;20;414136;EUR/a
residential2;optimization;co2_sum_distr_year;;20;0;t/a
residential2;cost;total_annual_costs_devices;;;279407;EUR/a
residential2;cost;total_connection_costs;;;0;EUR/a
residential2;cost;heat_grid_costs;;;30944;EUR/a
residential2;cost;heat_grid_costs_base;;;74067;EUR/a
residential2;cost;annualized_energy_costs;;;90877;EUR/a
residential2;cost;annualized_misc_costs;;;0;EUR/a
residential2;device;capacity;PV;;1920.4;kW
residential2;device;capacity;HP;;895.9;kW
residential2;device;capacity;BCHP;;228.0;kW
residential2;device;capacity;BBOI;;1093.3;kW
residential2;device;capacity;TES;;2926.0;kWh
residential2;device;capacity;BAT;;147.5;kWh
residential2;yearly_totals;from_el_grid_total;;0;560;MWh
residential2;yearly_totals;from_el_grid_total;;5;435;MWh
residential2;yearly_totals;from_el_grid_total;;10;400;MWh
residential2;yearly_totals;from_el_grid_total;;15;388;MWh
residential2;yearly_totals;from_el_grid_total;;20;1303;MWh
residential2;yearly_totals;to_el_grid_total;;0;1307;MWh
residential2;yearly_totals;to_el_grid_total;;5;1299;MWh
residential2;yearly_totals;to_el_grid_total;;10;1292;MWh
residential2;yearly_totals;to_el_grid_total;;15;1295;MWh
residential2;yearly_totals;to_el_grid_total;;20;1303;MWh
residential2;yearly_totals;from_el_main_grid_total;;0;560;MWh
residential2;yearly_totals;from_el_main_grid_total;;5;435;MWh
residential2;yearly_totals;from_el_main_grid_total;;10;400;MWh
residential2;yearly_totals;from_el_main_grid_total;;15;388;MWh
residential2;yearly_totals;from_el_main_grid_total;;20;1303;MWh
residential2;yearly_totals;to_el_main_grid_total;;0;1307;MWh
residential2;yearly_totals;to_el_main_grid_total;;5;1299;MWh
residential2;yearly_totals;to_el_main_grid_total;;10;1292;MWh
residential2;yearly_totals;to_el_main_grid_total;;15;1295;MWh
residential2;yearly_totals;to_el_main_grid_total;;20;1303;MWh
residential2;yearly_totals;from_network_total;;0;0;MWh
residential2;yearly_totals;from_network_total;;5;0;MWh
residential2;yearly_totals;from_network_total;;10;0;MWh
residential2;yearly_totals;from_network_total;;15;0;MWh
residential2;yearly_totals;from_network_total;;20;0;MWh
residential2;yearly_totals;to_network_total;;0;0;MWh
residential2;yearly_totals;to_network_total;;5;0;MWh
residential2;yearly_totals;to_network_total;;10;0;MWh
residential2;yearly_totals;to_network_total;;15;0;MWh
residential2;yearly_totals;to_network_total;;20;0;MWh
residential2;yearly_totals;from_gas_grid_total;;0;0;MWh
residential2;yearly_totals;from_gas_grid_total;;5;0;MWh
residential2;yearly_totals;from_gas_grid_total;;10;0;MWh
residential2;yearly_totals;from_gas_grid_total;;15;0;MWh
residential2;yearly_totals;from_gas_grid_total;;20;0;MWh
residential2;yearly_totals;to_gas_grid_total;;0;0;MWh
residential2;yearly_totals;to_gas_grid_total;;5;0;MWh
residential2;yearly_totals;to_gas_grid_total;;10;0;MWh
residential2;yearly_totals;to_gas_grid_total;;15;0;MWh
residential2;yearly_totals;to_gas_grid_total;;20;0;MWh
