elec,dhw,occ,gains
538.0104348722136,0.0,41.0,3047.543443507831
725.5606518689228,0.0,41.0,3109.435015116745
1184.4029025071816,0.0,41.0,3260.8529578273706
1375.1241599773216,113.2072147742841,41.0,3323.790972792517
1156.024548837325,0.0,41.0,3251.488101116318
2567.852272500586,2950.2221857027293,41.0,3717.3912499251937
1500.6326627516723,9212.94935644489,41.0,3386.6266892285475
3174.6418853730474,11987.44779971536,41.0,4069.1397890696026
2364.4914038362804,4846.2147081966605,11.0,1821.6873977957616
3817.8506408935536,965.157115504731,9.0,2121.8338078413794
4136.406514958161,248.48030433456825,4.0,1822.3899810347184
1469.305577690223,1262.2004486920557,4.0,811.1214289522622
1186.338701876986,1150.6929936292486,9.0,1029.8358795865793
2273.845294394753,2799.782570510762,12.0,1600.5732030546826
4324.330976642924,3340.12662497101,12.0,2282.46283557979
8280.636198243868,3845.426571801541,14.0,3834.6050044646354
2865.9201098779613,4198.909962074905,23.0,2913.9786626053187
9204.349808340769,2542.498633989005,26.0,5462.789656577353
9869.181962371655,2888.2268685960053,26.0,5681.178029606062
12163.451911178754,4057.431285683558,30.0,6746.16369315884
12272.038139718532,6024.007775960477,34.0,7079.982273569036
9963.877837709551,2896.485700773177,41.0,6868.739407150456
14070.786420688704,1531.9396550207248,41.0,8191.141498039929
5535.548436272471,881.1693775752899,41.0,4868.959764639798
538.0104348722136,0.0,41.0,3047.543443507831
538.0104348722136,0.0,41.0,3047.543443507831
1146.9918670827585,0.0,41.0,3248.50731613731
582.7110132677881,0.0,41.0,3076.5988194649544
729.937627866331,441.17209089653676,41.0,3116.1087745791
1209.664356315903,4182.167649694785,41.0,3299.5195104068684
3954.639926253315,8503.236373669266,41.0,4195.89563849426
1046.566669978541,6996.456688665738,41.0,3262.611345794151
7211.351383085667,5286.893097907594,10.0,3269.708084144022
4270.584803577627,2446.6992524972543,11.0,2361.357606645085
5743.577500242533,1921.1607773371247,9.0,2633.7915331944964
1482.3149659415803,2323.587273185073,12.0,1494.8277978755427
2489.763388633985,2582.11220074512,11.0,1679.2064006624237
7069.809133780907,1849.1988578520277,11.0,3140.9366433702685
1341.7437000798473,573.4382364334383,8.0,1039.0349537018972
3205.9734597525367,2855.7037483824165,11.0,1827.971241718337
2834.246153403389,2715.9327378934076,17.0,2186.2347020062743
2429.98190005013,1664.303607526988,22.0,2674.998063419515
5675.367136748854,3306.3397972549687,29.0,4278.665205205409
6117.8801716382995,4194.805873725328,29.0,4570.747552322469
5920.6875114677,5262.735048282157,29.0,4444.0921701187945
7752.3629819730795,4203.3258104161705,41.0,6018.394295190619
8800.623918437592,3770.8090121900696,41.0,6300.77699116948
7394.250019175546,2542.5670415173286,41.0,5765.13236926399
2478.279203290927,81.79747590053205,41.0,3715.428814257406
2608.013692238768,0.0,41.0,3828.4497091023172
982.3314584692571,0.0,41.0,3194.169381294855
1125.3306167680457,298.440886159831,41.0,3246.2711904150997
4005.3892680612184,217.42710962070075,41.0,4191.778458460202
731.8199530354912,5092.539550240571,41.0,3111.5005845017126
1400.9459562833217,11263.943976790179,41.0,3370.6479001890075
5256.9646783074995,7941.111064053419,41.0,4860.382933705447
